state_abbr,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
IN,0.0388165227198,0.0328477138908,0.0268789050618,0.0285785966514,0.030278288241,0.0319607424103,0.0336431965797,0.0332962221243,0.0329492476689,0.0344618322816,0.0359744168943,0.0371784568055,0.0383824967167,0.0389238506865,0.0394652046562,0.0403190933487,0.0411729820412,0.0411941155206,0.0412152489999,0.0427425283078,0.0442698076157,0.0465726987313,0.0488755898468,0.0513084074432,0.0537412250396,0.0558584344359,0.0579756438322,0.0607680328195,0.0635604218069,0.0660716423517,0.0685828628965,0.0690157777895,0.0694486926825,0.0695686926246,0.0696886925666,0.0680182332612,0.0663477739557
KS,0.0386563255773,0.0320294221407,0.025402518704,0.0273277719893,0.0292530252747,0.030575971447,0.0318989176192,0.0319129073963,0.0319268971734,0.0335918192416,0.0352567413097,0.0362798017872,0.0373028622646,0.0377868413869,0.0382708205092,0.0387370997469,0.0392033789845,0.038691700831,0.0381800226775,0.0395330046535,0.0408859866295,0.042772242443,0.0446584982566,0.0469692862595,0.0492800742623,0.0506714892333,0.0520629042043,0.0547299616102,0.0573970190162,0.0598097618912,0.0622225047662,0.062628657003,0.0630348092397,0.0629874331294,0.062940057019,0.0612391286453,0.0595382002717
KY,0.0426742463496,0.0360454513955,0.0294166564414,0.0304446776139,0.0314726987863,0.0333371008509,0.0352015029154,0.0345730936575,0.0339446843996,0.0355602180651,0.0371757517305,0.0383712974021,0.0395668430736,0.0399033885438,0.0402399340141,0.0410564041378,0.0418728742615,0.042196877111,0.0425208799604,0.0442664226925,0.0460119654247,0.0483811957125,0.0507504260004,0.0533151529104,0.0558798798205,0.05807102269,0.0602621655596,0.0629509516997,0.0656397378398,0.0680748042244,0.0705098706091,0.0710861332681,0.0716623959271,0.0717349452433,0.0718074945595,0.0700923193226,0.0683771440857
LA,0.0417511314584,0.0344143594874,0.0270775875164,0.0284515137591,0.0298254400018,0.0320776644953,0.0343298889888,0.0335718139568,0.0328137389247,0.0344809603853,0.0361481818459,0.0370660329463,0.0379838840466,0.0382907707751,0.0385976575036,0.0391460992877,0.0396945410719,0.0402150932738,0.0407356454756,0.0422180512115,0.0437004569474,0.0460553780619,0.0484102991764,0.0506839607146,0.0529576222527,0.0539687731039,0.054979923955,0.0575276214899,0.0600753190248,0.0623558046042,0.0646362901837,0.0653150973964,0.0659939046091,0.0661262316059,0.0662585586027,0.0647516800145,0.0632448014264
MA,0.0562388239301,0.0470932378389,0.0379476517476,0.0375015759667,0.0370555001857,0.0370561545046,0.0370568088235,0.0370951268566,0.0371334448897,0.0386422921077,0.0401511393257,0.0410766553571,0.0420021713885,0.0421122385343,0.04222230568,0.0429281354667,0.0436339652533,0.0440954691433,0.0445569730332,0.0458904059912,0.0472238389492,0.0495764848423,0.0519291307353,0.0536082365276,0.0552873423198,0.057474046637,0.0596607509542,0.0626014841446,0.065542217335,0.067112384256,0.0686825511769,0.0682814732886,0.0678803954003,0.0680442969721,0.0682081985439,0.0670711060243,0.0659340135047
MD,0.0431184802585,0.0363992471905,0.0296800141225,0.0308999743364,0.0321199345503,0.0335271917527,0.0349344489552,0.0346291933321,0.0343239377089,0.0359690823585,0.037614227008,0.0387990532134,0.0399838794187,0.0403197788152,0.0406556782116,0.0418018127278,0.042947947244,0.0434011686498,0.0438543900557,0.0455150750395,0.0471757600233,0.0495161137896,0.0518564675559,0.0546333115347,0.0574101555134,0.0596503849733,0.0618906144331,0.0649675232814,0.0680444321297,0.070640423797,0.0732364154643,0.0740059603859,0.0747755053075,0.0750427788939,0.0753100524803,0.073722631564,0.0721352106477
ME,0.0562388239301,0.0470932378389,0.0379476517476,0.0375015759667,0.0370555001857,0.0370561545046,0.0370568088235,0.0370951268566,0.0371334448897,0.0386422921077,0.0401511393257,0.0410766553571,0.0420021713885,0.0421122385343,0.04222230568,0.0429281354667,0.0436339652533,0.0440954691433,0.0445569730332,0.0458904059912,0.0472238389492,0.0495764848423,0.0519291307353,0.0536082365276,0.0552873423198,0.057474046637,0.0596607509542,0.0626014841446,0.065542217335,0.067112384256,0.0686825511769,0.0682814732886,0.0678803954003,0.0680442969721,0.0682081985439,0.0670711060243,0.0659340135047
MI,0.0388165227198,0.0328477138908,0.0268789050618,0.0285785966514,0.030278288241,0.0319607424103,0.0336431965797,0.0332962221243,0.0329492476689,0.0344618322816,0.0359744168943,0.0371784568055,0.0383824967167,0.0389238506865,0.0394652046562,0.0403190933487,0.0411729820412,0.0411941155206,0.0412152489999,0.0427425283078,0.0442698076157,0.0465726987313,0.0488755898468,0.0513084074432,0.0537412250396,0.0558584344359,0.0579756438322,0.0607680328195,0.0635604218069,0.0660716423517,0.0685828628965,0.0690157777895,0.0694486926825,0.0695686926246,0.0696886925666,0.0680182332612,0.0663477739557
MN,0.0386563255773,0.0320294221407,0.025402518704,0.0273277719893,0.0292530252747,0.030575971447,0.0318989176192,0.0319129073963,0.0319268971734,0.0335918192416,0.0352567413097,0.0362798017872,0.0373028622646,0.0377868413869,0.0382708205092,0.0387370997469,0.0392033789845,0.038691700831,0.0381800226775,0.0395330046535,0.0408859866295,0.042772242443,0.0446584982566,0.0469692862595,0.0492800742623,0.0506714892333,0.0520629042043,0.0547299616102,0.0573970190162,0.0598097618912,0.0622225047662,0.062628657003,0.0630348092397,0.0629874331294,0.062940057019,0.0612391286453,0.0595382002717
MO,0.0386563255773,0.0320294221407,0.025402518704,0.0273277719893,0.0292530252747,0.030575971447,0.0318989176192,0.0319129073963,0.0319268971734,0.0335918192416,0.0352567413097,0.0362798017872,0.0373028622646,0.0377868413869,0.0382708205092,0.0387370997469,0.0392033789845,0.038691700831,0.0381800226775,0.0395330046535,0.0408859866295,0.042772242443,0.0446584982566,0.0469692862595,0.0492800742623,0.0506714892333,0.0520629042043,0.0547299616102,0.0573970190162,0.0598097618912,0.0622225047662,0.062628657003,0.0630348092397,0.0629874331294,0.062940057019,0.0612391286453,0.0595382002717
MS,0.0426742463496,0.0360454513955,0.0294166564414,0.0304446776139,0.0314726987863,0.0333371008509,0.0352015029154,0.0345730936575,0.0339446843996,0.0355602180651,0.0371757517305,0.0383712974021,0.0395668430736,0.0399033885438,0.0402399340141,0.0410564041378,0.0418728742615,0.042196877111,0.0425208799604,0.0442664226925,0.0460119654247,0.0483811957125,0.0507504260004,0.0533151529104,0.0558798798205,0.05807102269,0.0602621655596,0.0629509516997,0.0656397378398,0.0680748042244,0.0705098706091,0.0710861332681,0.0716623959271,0.0717349452433,0.0718074945595,0.0700923193226,0.0683771440857
MT,0.0373598371227,0.0302353907099,0.0231109442971,0.0251711216341,0.0272312989711,0.028976963362,0.030722627753,0.03089054514,0.031058462527,0.0325977016359,0.0341369407449,0.0352378584114,0.036338776078,0.0371793660132,0.0380199559483,0.0389304295873,0.0398409032263,0.0402269316057,0.0406129599851,0.0422012881214,0.0437896162577,0.0456032418722,0.0474168674867,0.0496951296574,0.0519733918282,0.0532421063566,0.054510820885,0.0557116827645,0.0569125446439,0.0571748350023,0.0574371253607,0.0577095110902,0.0579818968196,0.0589218127254,0.0598617286312,0.058775380615,0.0576890325989
NC,0.0431184802585,0.0363992471905,0.0296800141225,0.0308999743364,0.0321199345503,0.0335271917527,0.0349344489552,0.0346291933321,0.0343239377089,0.0359690823585,0.037614227008,0.0387990532134,0.0399838794187,0.0403197788152,0.0406556782116,0.0418018127278,0.042947947244,0.0434011686498,0.0438543900557,0.0455150750395,0.0471757600233,0.0495161137896,0.0518564675559,0.0546333115347,0.0574101555134,0.0596503849733,0.0618906144331,0.0649675232814,0.0680444321297,0.070640423797,0.0732364154643,0.0740059603859,0.0747755053075,0.0750427788939,0.0753100524803,0.073722631564,0.0721352106477
ND,0.0386563255773,0.0320294221407,0.025402518704,0.0273277719893,0.0292530252747,0.030575971447,0.0318989176192,0.0319129073963,0.0319268971734,0.0335918192416,0.0352567413097,0.0362798017872,0.0373028622646,0.0377868413869,0.0382708205092,0.0387370997469,0.0392033789845,0.038691700831,0.0381800226775,0.0395330046535,0.0408859866295,0.042772242443,0.0446584982566,0.0469692862595,0.0492800742623,0.0506714892333,0.0520629042043,0.0547299616102,0.0573970190162,0.0598097618912,0.0622225047662,0.062628657003,0.0630348092397,0.0629874331294,0.062940057019,0.0612391286453,0.0595382002717
NE,0.0386563255773,0.0320294221407,0.025402518704,0.0273277719893,0.0292530252747,0.030575971447,0.0318989176192,0.0319129073963,0.0319268971734,0.0335918192416,0.0352567413097,0.0362798017872,0.0373028622646,0.0377868413869,0.0382708205092,0.0387370997469,0.0392033789845,0.038691700831,0.0381800226775,0.0395330046535,0.0408859866295,0.042772242443,0.0446584982566,0.0469692862595,0.0492800742623,0.0506714892333,0.0520629042043,0.0547299616102,0.0573970190162,0.0598097618912,0.0622225047662,0.062628657003,0.0630348092397,0.0629874331294,0.062940057019,0.0612391286453,0.0595382002717
NH,0.0562388239301,0.0470932378389,0.0379476517476,0.0375015759667,0.0370555001857,0.0370561545046,0.0370568088235,0.0370951268566,0.0371334448897,0.0386422921077,0.0401511393257,0.0410766553571,0.0420021713885,0.0421122385343,0.04222230568,0.0429281354667,0.0436339652533,0.0440954691433,0.0445569730332,0.0458904059912,0.0472238389492,0.0495764848423,0.0519291307353,0.0536082365276,0.0552873423198,0.057474046637,0.0596607509542,0.0626014841446,0.065542217335,0.067112384256,0.0686825511769,0.0682814732886,0.0678803954003,0.0680442969721,0.0682081985439,0.0670711060243,0.0659340135047
NJ,0.0461802758795,0.0379471201213,0.0297139643632,0.0315065618668,0.0332991593704,0.0349203741652,0.0365415889601,0.0359390373808,0.0353364858014,0.0367912656831,0.0382460455648,0.0394695788809,0.0406931121969,0.040707030345,0.0407209484932,0.0416306396922,0.0425403308913,0.0428950814142,0.0432498319371,0.0448464282746,0.0464430246122,0.0488675515543,0.0512920784965,0.0536066753582,0.05592127222,0.0584761575691,0.0610310429182,0.064192780295,0.0673545176718,0.0697402771657,0.0721260366597,0.0722857621838,0.0724454877079,0.072693994047,0.0729425003861,0.0717002276594,0.0704579549327
NM,0.0373598371227,0.0302353907099,0.0231109442971,0.0251711216341,0.0272312989711,0.028976963362,0.030722627753,0.03089054514,0.031058462527,0.0325977016359,0.0341369407449,0.0352378584114,0.036338776078,0.0371793660132,0.0380199559483,0.0389304295873,0.0398409032263,0.0402269316057,0.0406129599851,0.0422012881214,0.0437896162577,0.0456032418722,0.0474168674867,0.0496951296574,0.0519733918282,0.0532421063566,0.054510820885,0.0557116827645,0.0569125446439,0.0571748350023,0.0574371253607,0.0577095110902,0.0579818968196,0.0589218127254,0.0598617286312,0.058775380615,0.0576890325989
NV,0.0373598371227,0.0302353907099,0.0231109442971,0.0251711216341,0.0272312989711,0.028976963362,0.030722627753,0.03089054514,0.031058462527,0.0325977016359,0.0341369407449,0.0352378584114,0.036338776078,0.0371793660132,0.0380199559483,0.0389304295873,0.0398409032263,0.0402269316057,0.0406129599851,0.0422012881214,0.0437896162577,0.0456032418722,0.0474168674867,0.0496951296574,0.0519733918282,0.0532421063566,0.054510820885,0.0557116827645,0.0569125446439,0.0571748350023,0.0574371253607,0.0577095110902,0.0579818968196,0.0589218127254,0.0598617286312,0.058775380615,0.0576890325989
NY,0.0461802758795,0.0379471201213,0.0297139643632,0.0315065618668,0.0332991593704,0.0349203741652,0.0365415889601,0.0359390373808,0.0353364858014,0.0367912656831,0.0382460455648,0.0394695788809,0.0406931121969,0.040707030345,0.0407209484932,0.0416306396922,0.0425403308913,0.0428950814142,0.0432498319371,0.0448464282746,0.0464430246122,0.0488675515543,0.0512920784965,0.0536066753582,0.05592127222,0.0584761575691,0.0610310429182,0.064192780295,0.0673545176718,0.0697402771657,0.0721260366597,0.0722857621838,0.0724454877079,0.072693994047,0.0729425003861,0.0717002276594,0.0704579549327
OH,0.0388165227198,0.0328477138908,0.0268789050618,0.0285785966514,0.030278288241,0.0319607424103,0.0336431965797,0.0332962221243,0.0329492476689,0.0344618322816,0.0359744168943,0.0371784568055,0.0383824967167,0.0389238506865,0.0394652046562,0.0403190933487,0.0411729820412,0.0411941155206,0.0412152489999,0.0427425283078,0.0442698076157,0.0465726987313,0.0488755898468,0.0513084074432,0.0537412250396,0.0558584344359,0.0579756438322,0.0607680328195,0.0635604218069,0.0660716423517,0.0685828628965,0.0690157777895,0.0694486926825,0.0695686926246,0.0696886925666,0.0680182332612,0.0663477739557
OK,0.0417511314584,0.0344143594874,0.0270775875164,0.0284515137591,0.0298254400018,0.0320776644953,0.0343298889888,0.0335718139568,0.0328137389247,0.0344809603853,0.0361481818459,0.0370660329463,0.0379838840466,0.0382907707751,0.0385976575036,0.0391460992877,0.0396945410719,0.0402150932738,0.0407356454756,0.0422180512115,0.0437004569474,0.0460553780619,0.0484102991764,0.0506839607146,0.0529576222527,0.0539687731039,0.054979923955,0.0575276214899,0.0600753190248,0.0623558046042,0.0646362901837,0.0653150973964,0.0659939046091,0.0661262316059,0.0662585586027,0.0647516800145,0.0632448014264
OR,0.0414194413048,0.033286945185,0.0251544490652,0.0268156048733,0.0284767606814,0.0308511841749,0.0332256076684,0.0337523386968,0.0342790697252,0.036680063576,0.0390810574268,0.0412778827042,0.0434747079816,0.044440736235,0.0454067644883,0.0472605564902,0.0491143484922,0.0486327556579,0.0481511628236,0.0485109855975,0.0488708083714,0.0497174727485,0.0505641371256,0.0521547703475,0.0537454035694,0.0548592840119,0.0559731644545,0.0570124546429,0.0580517448313,0.0582933412123,0.0585349375933,0.0587145855667,0.0588942335402,0.0598971669491,0.0609001003581,0.060179937347,0.0594597743359
PA,0.0461802758795,0.0379471201213,0.0297139643632,0.0315065618668,0.0332991593704,0.0349203741652,0.0365415889601,0.0359390373808,0.0353364858014,0.0367912656831,0.0382460455648,0.0394695788809,0.0406931121969,0.040707030345,0.0407209484932,0.0416306396922,0.0425403308913,0.0428950814142,0.0432498319371,0.0448464282746,0.0464430246122,0.0488675515543,0.0512920784965,0.0536066753582,0.05592127222,0.0584761575691,0.0610310429182,0.064192780295,0.0673545176718,0.0697402771657,0.0721260366597,0.0722857621838,0.0724454877079,0.072693994047,0.0729425003861,0.0717002276594,0.0704579549327
RI,0.0562388239301,0.0470932378389,0.0379476517476,0.0375015759667,0.0370555001857,0.0370561545046,0.0370568088235,0.0370951268566,0.0371334448897,0.0386422921077,0.0401511393257,0.0410766553571,0.0420021713885,0.0421122385343,0.04222230568,0.0429281354667,0.0436339652533,0.0440954691433,0.0445569730332,0.0458904059912,0.0472238389492,0.0495764848423,0.0519291307353,0.0536082365276,0.0552873423198,0.057474046637,0.0596607509542,0.0626014841446,0.065542217335,0.067112384256,0.0686825511769,0.0682814732886,0.0678803954003,0.0680442969721,0.0682081985439,0.0670711060243,0.0659340135047
SC,0.0431184802585,0.0363992471905,0.0296800141225,0.0308999743364,0.0321199345503,0.0335271917527,0.0349344489552,0.0346291933321,0.0343239377089,0.0359690823585,0.037614227008,0.0387990532134,0.0399838794187,0.0403197788152,0.0406556782116,0.0418018127278,0.042947947244,0.0434011686498,0.0438543900557,0.0455150750395,0.0471757600233,0.0495161137896,0.0518564675559,0.0546333115347,0.0574101555134,0.0596503849733,0.0618906144331,0.0649675232814,0.0680444321297,0.070640423797,0.0732364154643,0.0740059603859,0.0747755053075,0.0750427788939,0.0753100524803,0.073722631564,0.0721352106477
SD,0.0386563255773,0.0320294221407,0.025402518704,0.0273277719893,0.0292530252747,0.030575971447,0.0318989176192,0.0319129073963,0.0319268971734,0.0335918192416,0.0352567413097,0.0362798017872,0.0373028622646,0.0377868413869,0.0382708205092,0.0387370997469,0.0392033789845,0.038691700831,0.0381800226775,0.0395330046535,0.0408859866295,0.042772242443,0.0446584982566,0.0469692862595,0.0492800742623,0.0506714892333,0.0520629042043,0.0547299616102,0.0573970190162,0.0598097618912,0.0622225047662,0.062628657003,0.0630348092397,0.0629874331294,0.062940057019,0.0612391286453,0.0595382002717
TN,0.0426742463496,0.0360454513955,0.0294166564414,0.0304446776139,0.0314726987863,0.0333371008509,0.0352015029154,0.0345730936575,0.0339446843996,0.0355602180651,0.0371757517305,0.0383712974021,0.0395668430736,0.0399033885438,0.0402399340141,0.0410564041378,0.0418728742615,0.042196877111,0.0425208799604,0.0442664226925,0.0460119654247,0.0483811957125,0.0507504260004,0.0533151529104,0.0558798798205,0.05807102269,0.0602621655596,0.0629509516997,0.0656397378398,0.0680748042244,0.0705098706091,0.0710861332681,0.0716623959271,0.0717349452433,0.0718074945595,0.0700923193226,0.0683771440857
TX,0.0417511314584,0.0344143594874,0.0270775875164,0.0284515137591,0.0298254400018,0.0320776644953,0.0343298889888,0.0335718139568,0.0328137389247,0.0344809603853,0.0361481818459,0.0370660329463,0.0379838840466,0.0382907707751,0.0385976575036,0.0391460992877,0.0396945410719,0.0402150932738,0.0407356454756,0.0422180512115,0.0437004569474,0.0460553780619,0.0484102991764,0.0506839607146,0.0529576222527,0.0539687731039,0.054979923955,0.0575276214899,0.0600753190248,0.0623558046042,0.0646362901837,0.0653150973964,0.0659939046091,0.0661262316059,0.0662585586027,0.0647516800145,0.0632448014264
UT,0.0373598371227,0.0302353907099,0.0231109442971,0.0251711216341,0.0272312989711,0.028976963362,0.030722627753,0.03089054514,0.031058462527,0.0325977016359,0.0341369407449,0.0352378584114,0.036338776078,0.0371793660132,0.0380199559483,0.0389304295873,0.0398409032263,0.0402269316057,0.0406129599851,0.0422012881214,0.0437896162577,0.0456032418722,0.0474168674867,0.0496951296574,0.0519733918282,0.0532421063566,0.054510820885,0.0557116827645,0.0569125446439,0.0571748350023,0.0574371253607,0.0577095110902,0.0579818968196,0.0589218127254,0.0598617286312,0.058775380615,0.0576890325989
VA,0.0431184802585,0.0363992471905,0.0296800141225,0.0308999743364,0.0321199345503,0.0335271917527,0.0349344489552,0.0346291933321,0.0343239377089,0.0359690823585,0.037614227008,0.0387990532134,0.0399838794187,0.0403197788152,0.0406556782116,0.0418018127278,0.042947947244,0.0434011686498,0.0438543900557,0.0455150750395,0.0471757600233,0.0495161137896,0.0518564675559,0.0546333115347,0.0574101555134,0.0596503849733,0.0618906144331,0.0649675232814,0.0680444321297,0.070640423797,0.0732364154643,0.0740059603859,0.0747755053075,0.0750427788939,0.0753100524803,0.073722631564,0.0721352106477
