state_abbr,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
KY,0.0859946013274,0.0859667717031,0.0859389420787,0.086662450076,0.0873859580733,0.087426597048,0.0874672360226,0.08690367777,0.0863401195174,0.0864970159455,0.0866539123736,0.0868239353809,0.0869939583881,0.0869333790057,0.0868727996233,0.087005858401,0.0871389171786,0.087000334178,0.0868617511774,0.086747050973,0.0866323507686,0.0864721466945,0.0863119426203,0.086141580885,0.0859712191497,0.0857963384137,0.0856214576778,0.0856431936283,0.0856649295788,0.0856357234632,0.0856065173477,0.0859969880199,0.0863874586922,0.0869011589363,0.0874148591804,0.0876247924977,0.0878347258151
LA,0.0914053945746,0.0883750682801,0.0853447419855,0.0861591233538,0.086973504722,0.0873749023811,0.0877763000402,0.0865825948075,0.0853888895748,0.0855267177273,0.0856645458798,0.0854578285686,0.0852511112574,0.0851020540859,0.0849529969144,0.0846591654907,0.0843653340671,0.083998211913,0.0836310897588,0.0833786943772,0.0831262989955,0.0828278016577,0.0825293043198,0.0822581243118,0.0819869443038,0.081815911305,0.0816448783062,0.0813238582281,0.08100283815,0.0807640172244,0.0805251962988,0.0804976823552,0.0804701684116,0.0802712276674,0.0800722869231,0.0799865581512,0.0799008293793
MA,0.227930198548,0.230559615007,0.233189031467,0.234997957248,0.236806883029,0.24509321808,0.253379553131,0.244390823616,0.235402094101,0.236347006144,0.237291918187,0.236210214641,0.235128511095,0.254089027489,0.273049543884,0.275871207969,0.278692872054,0.27456297828,0.270433084507,0.266752342554,0.263071600601,0.250938406726,0.238805212852,0.235821782619,0.232838352387,0.230747924414,0.228657496442,0.224475327524,0.220293158606,0.215975762157,0.211658365707,0.212530187913,0.21340201012,0.210717997105,0.20803398409,0.206894439387,0.205754894683
MD,0.105217514687,0.102610827819,0.100004140952,0.100376318502,0.100748496053,0.102521344129,0.104294192205,0.103422882283,0.102551572361,0.102031402715,0.101511233069,0.100975020047,0.100438807026,0.0998237049203,0.0992086028146,0.099013047408,0.0988174920014,0.0983976866481,0.0979778812948,0.0975848902706,0.0971918992464,0.0970326042201,0.0968733091938,0.096609878885,0.0963464485761,0.0959877473548,0.0956290461334,0.0951109546101,0.0945928630869,0.0948324968509,0.0950721306149,0.0956740354613,0.0962759403077,0.0970408611499,0.0978057819921,0.0976736933589,0.0975416047257
ME,0.227930198548,0.230559615007,0.233189031467,0.234997957248,0.236806883029,0.24509321808,0.253379553131,0.244390823616,0.235402094101,0.236347006144,0.237291918187,0.236210214641,0.235128511095,0.254089027489,0.273049543884,0.275871207969,0.278692872054,0.27456297828,0.270433084507,0.266752342554,0.263071600601,0.250938406726,0.238805212852,0.235821782619,0.232838352387,0.230747924414,0.228657496442,0.224475327524,0.220293158606,0.215975762157,0.211658365707,0.212530187913,0.21340201012,0.210717997105,0.20803398409,0.206894439387,0.205754894683
MI,0.101262240319,0.102122394494,0.102982548669,0.103144065665,0.103305582662,0.103291387617,0.103277192571,0.103298669967,0.103320147363,0.102639831673,0.101959515983,0.101648178736,0.10133684149,0.101059577406,0.100782313323,0.10066806179,0.100553810256,0.100759561408,0.10096531256,0.100675667352,0.100386022144,0.100120158414,0.0998542946834,0.0998480143639,0.0998417340443,0.0997282296083,0.0996147251722,0.0997207790597,0.0998268329471,0.100546849654,0.101266866361,0.10158630033,0.101905734298,0.103126065841,0.104346397384,0.105002881506,0.105659365629
MN,0.0784478871248,0.0804615384101,0.0824751896954,0.0816322729657,0.0807893562361,0.0807268926125,0.0806644289889,0.0823300284082,0.0839956278276,0.0851153116727,0.0862349955178,0.0948898838038,0.10354477209,0.103671042733,0.103797313376,0.10415875907,0.104520204764,0.107519021511,0.110517838257,0.113065993697,0.115614149137,0.116131240232,0.116648331327,0.128235443387,0.139822555447,0.140018138216,0.140213720984,0.1403511264,0.140488531815,0.139489465335,0.138490398856,0.139157905286,0.139825411715,0.141046336545,0.142267261375,0.142373880828,0.142480500281
MO,0.0784478871248,0.0804615384101,0.0824751896954,0.0816322729657,0.0807893562361,0.0807268926125,0.0806644289889,0.0823300284082,0.0839956278276,0.0851153116727,0.0862349955178,0.0948898838038,0.10354477209,0.103671042733,0.103797313376,0.10415875907,0.104520204764,0.107519021511,0.110517838257,0.113065993697,0.115614149137,0.116131240232,0.116648331327,0.128235443387,0.139822555447,0.140018138216,0.140213720984,0.1403511264,0.140488531815,0.139489465335,0.138490398856,0.139157905286,0.139825411715,0.141046336545,0.142267261375,0.142373880828,0.142480500281
MS,0.0859946013274,0.0859667717031,0.0859389420787,0.086662450076,0.0873859580733,0.087426597048,0.0874672360226,0.08690367777,0.0863401195174,0.0864970159455,0.0866539123736,0.0868239353809,0.0869939583881,0.0869333790057,0.0868727996233,0.087005858401,0.0871389171786,0.087000334178,0.0868617511774,0.086747050973,0.0866323507686,0.0864721466945,0.0863119426203,0.086141580885,0.0859712191497,0.0857963384137,0.0856214576778,0.0856431936283,0.0856649295788,0.0856357234632,0.0856065173477,0.0859969880199,0.0863874586922,0.0869011589363,0.0874148591804,0.0876247924977,0.0878347258151
MT,0.0943764396071,0.0934088312222,0.0924412228373,0.0922329520925,0.0920246813476,0.0918484713137,0.0916722612798,0.0913546503458,0.0910370394119,0.0904477021313,0.0898583648507,0.0890929247474,0.088327484644,0.087847758512,0.08736803238,0.0869738303208,0.0865796282616,0.0861897643704,0.0857999004791,0.0854861322234,0.0851723639677,0.0851143376479,0.0850563113282,0.0851539896533,0.0852516679785,0.0852867413899,0.0853218148012,0.0850480953742,0.0847743759471,0.0853136968445,0.0858530177418,0.0860844864007,0.0863159550596,0.0864785231036,0.0866410911476,0.0868489816492,0.0870568721509
NC,0.105217514687,0.102610827819,0.100004140952,0.100376318502,0.100748496053,0.102521344129,0.104294192205,0.103422882283,0.102551572361,0.102031402715,0.101511233069,0.100975020047,0.100438807026,0.0998237049203,0.0992086028146,0.099013047408,0.0988174920014,0.0983976866481,0.0979778812948,0.0975848902706,0.0971918992464,0.0970326042201,0.0968733091938,0.096609878885,0.0963464485761,0.0959877473548,0.0956290461334,0.0951109546101,0.0945928630869,0.0948324968509,0.0950721306149,0.0956740354613,0.0962759403077,0.0970408611499,0.0978057819921,0.0976736933589,0.0975416047257
ND,0.0784478871248,0.0804615384101,0.0824751896954,0.0816322729657,0.0807893562361,0.0807268926125,0.0806644289889,0.0823300284082,0.0839956278276,0.0851153116727,0.0862349955178,0.0948898838038,0.10354477209,0.103671042733,0.103797313376,0.10415875907,0.104520204764,0.107519021511,0.110517838257,0.113065993697,0.115614149137,0.116131240232,0.116648331327,0.128235443387,0.139822555447,0.140018138216,0.140213720984,0.1403511264,0.140488531815,0.139489465335,0.138490398856,0.139157905286,0.139825411715,0.141046336545,0.142267261375,0.142373880828,0.142480500281
NE,0.0784478871248,0.0804615384101,0.0824751896954,0.0816322729657,0.0807893562361,0.0807268926125,0.0806644289889,0.0823300284082,0.0839956278276,0.0851153116727,0.0862349955178,0.0948898838038,0.10354477209,0.103671042733,0.103797313376,0.10415875907,0.104520204764,0.107519021511,0.110517838257,0.113065993697,0.115614149137,0.116131240232,0.116648331327,0.128235443387,0.139822555447,0.140018138216,0.140213720984,0.1403511264,0.140488531815,0.139489465335,0.138490398856,0.139157905286,0.139825411715,0.141046336545,0.142267261375,0.142373880828,0.142480500281
NH,0.227930198548,0.230559615007,0.233189031467,0.234997957248,0.236806883029,0.24509321808,0.253379553131,0.244390823616,0.235402094101,0.236347006144,0.237291918187,0.236210214641,0.235128511095,0.254089027489,0.273049543884,0.275871207969,0.278692872054,0.27456297828,0.270433084507,0.266752342554,0.263071600601,0.250938406726,0.238805212852,0.235821782619,0.232838352387,0.230747924414,0.228657496442,0.224475327524,0.220293158606,0.215975762157,0.211658365707,0.212530187913,0.21340201012,0.210717997105,0.20803398409,0.206894439387,0.205754894683
NJ,0.152498896662,0.150260655978,0.148022415293,0.147170386956,0.146318358618,0.146913012476,0.147507666334,0.147146640386,0.146785614437,0.146795058241,0.146804502045,0.146470323241,0.146136144438,0.145846086476,0.145556028513,0.145669094271,0.145782160029,0.145255237446,0.144728314863,0.144435582014,0.144142849166,0.144160811186,0.144178773205,0.14422015289,0.144261532575,0.14384045083,0.143419369085,0.143029307571,0.142639246057,0.14257474635,0.142510246643,0.143360283073,0.144210319504,0.145029395083,0.145848470661,0.146624973438,0.147401476215
NM,0.0943764396071,0.0934088312222,0.0924412228373,0.0922329520925,0.0920246813476,0.0918484713137,0.0916722612798,0.0913546503458,0.0910370394119,0.0904477021313,0.0898583648507,0.0890929247474,0.088327484644,0.087847758512,0.08736803238,0.0869738303208,0.0865796282616,0.0861897643704,0.0857999004791,0.0854861322234,0.0851723639677,0.0851143376479,0.0850563113282,0.0851539896533,0.0852516679785,0.0852867413899,0.0853218148012,0.0850480953742,0.0847743759471,0.0853136968445,0.0858530177418,0.0860844864007,0.0863159550596,0.0864785231036,0.0866410911476,0.0868489816492,0.0870568721509
NV,0.0943764396071,0.0934088312222,0.0924412228373,0.0922329520925,0.0920246813476,0.0918484713137,0.0916722612798,0.0913546503458,0.0910370394119,0.0904477021313,0.0898583648507,0.0890929247474,0.088327484644,0.087847758512,0.08736803238,0.0869738303208,0.0865796282616,0.0861897643704,0.0857999004791,0.0854861322234,0.0851723639677,0.0851143376479,0.0850563113282,0.0851539896533,0.0852516679785,0.0852867413899,0.0853218148012,0.0850480953742,0.0847743759471,0.0853136968445,0.0858530177418,0.0860844864007,0.0863159550596,0.0864785231036,0.0866410911476,0.0868489816492,0.0870568721509
NY,0.152498896662,0.150260655978,0.148022415293,0.147170386956,0.146318358618,0.146913012476,0.147507666334,0.147146640386,0.146785614437,0.146795058241,0.146804502045,0.146470323241,0.146136144438,0.145846086476,0.145556028513,0.145669094271,0.145782160029,0.145255237446,0.144728314863,0.144435582014,0.144142849166,0.144160811186,0.144178773205,0.14422015289,0.144261532575,0.14384045083,0.143419369085,0.143029307571,0.142639246057,0.14257474635,0.142510246643,0.143360283073,0.144210319504,0.145029395083,0.145848470661,0.146624973438,0.147401476215
OH,0.101262240319,0.102122394494,0.102982548669,0.103144065665,0.103305582662,0.103291387617,0.103277192571,0.103298669967,0.103320147363,0.102639831673,0.101959515983,0.101648178736,0.10133684149,0.101059577406,0.100782313323,0.10066806179,0.100553810256,0.100759561408,0.10096531256,0.100675667352,0.100386022144,0.100120158414,0.0998542946834,0.0998480143639,0.0998417340443,0.0997282296083,0.0996147251722,0.0997207790597,0.0998268329471,0.100546849654,0.101266866361,0.10158630033,0.101905734298,0.103126065841,0.104346397384,0.105002881506,0.105659365629
OK,0.0914053945746,0.0883750682801,0.0853447419855,0.0861591233538,0.086973504722,0.0873749023811,0.0877763000402,0.0865825948075,0.0853888895748,0.0855267177273,0.0856645458798,0.0854578285686,0.0852511112574,0.0851020540859,0.0849529969144,0.0846591654907,0.0843653340671,0.083998211913,0.0836310897588,0.0833786943772,0.0831262989955,0.0828278016577,0.0825293043198,0.0822581243118,0.0819869443038,0.081815911305,0.0816448783062,0.0813238582281,0.08100283815,0.0807640172244,0.0805251962988,0.0804976823552,0.0804701684116,0.0802712276674,0.0800722869231,0.0799865581512,0.0799008293793
PA,0.152498896662,0.150260655978,0.148022415293,0.147170386956,0.146318358618,0.146913012476,0.147507666334,0.147146640386,0.146785614437,0.146795058241,0.146804502045,0.146470323241,0.146136144438,0.145846086476,0.145556028513,0.145669094271,0.145782160029,0.145255237446,0.144728314863,0.144435582014,0.144142849166,0.144160811186,0.144178773205,0.14422015289,0.144261532575,0.14384045083,0.143419369085,0.143029307571,0.142639246057,0.14257474635,0.142510246643,0.143360283073,0.144210319504,0.145029395083,0.145848470661,0.146624973438,0.147401476215
RI,0.227930198548,0.230559615007,0.233189031467,0.234997957248,0.236806883029,0.24509321808,0.253379553131,0.244390823616,0.235402094101,0.236347006144,0.237291918187,0.236210214641,0.235128511095,0.254089027489,0.273049543884,0.275871207969,0.278692872054,0.27456297828,0.270433084507,0.266752342554,0.263071600601,0.250938406726,0.238805212852,0.235821782619,0.232838352387,0.230747924414,0.228657496442,0.224475327524,0.220293158606,0.215975762157,0.211658365707,0.212530187913,0.21340201012,0.210717997105,0.20803398409,0.206894439387,0.205754894683
SC,0.105217514687,0.102610827819,0.100004140952,0.100376318502,0.100748496053,0.102521344129,0.104294192205,0.103422882283,0.102551572361,0.102031402715,0.101511233069,0.100975020047,0.100438807026,0.0998237049203,0.0992086028146,0.099013047408,0.0988174920014,0.0983976866481,0.0979778812948,0.0975848902706,0.0971918992464,0.0970326042201,0.0968733091938,0.096609878885,0.0963464485761,0.0959877473548,0.0956290461334,0.0951109546101,0.0945928630869,0.0948324968509,0.0950721306149,0.0956740354613,0.0962759403077,0.0970408611499,0.0978057819921,0.0976736933589,0.0975416047257
SD,0.0784478871248,0.0804615384101,0.0824751896954,0.0816322729657,0.0807893562361,0.0807268926125,0.0806644289889,0.0823300284082,0.0839956278276,0.0851153116727,0.0862349955178,0.0948898838038,0.10354477209,0.103671042733,0.103797313376,0.10415875907,0.104520204764,0.107519021511,0.110517838257,0.113065993697,0.115614149137,0.116131240232,0.116648331327,0.128235443387,0.139822555447,0.140018138216,0.140213720984,0.1403511264,0.140488531815,0.139489465335,0.138490398856,0.139157905286,0.139825411715,0.141046336545,0.142267261375,0.142373880828,0.142480500281
TN,0.0859946013274,0.0859667717031,0.0859389420787,0.086662450076,0.0873859580733,0.087426597048,0.0874672360226,0.08690367777,0.0863401195174,0.0864970159455,0.0866539123736,0.0868239353809,0.0869939583881,0.0869333790057,0.0868727996233,0.087005858401,0.0871389171786,0.087000334178,0.0868617511774,0.086747050973,0.0866323507686,0.0864721466945,0.0863119426203,0.086141580885,0.0859712191497,0.0857963384137,0.0856214576778,0.0856431936283,0.0856649295788,0.0856357234632,0.0856065173477,0.0859969880199,0.0863874586922,0.0869011589363,0.0874148591804,0.0876247924977,0.0878347258151
TX,0.0914053945746,0.0883750682801,0.0853447419855,0.0861591233538,0.086973504722,0.0873749023811,0.0877763000402,0.0865825948075,0.0853888895748,0.0855267177273,0.0856645458798,0.0854578285686,0.0852511112574,0.0851020540859,0.0849529969144,0.0846591654907,0.0843653340671,0.083998211913,0.0836310897588,0.0833786943772,0.0831262989955,0.0828278016577,0.0825293043198,0.0822581243118,0.0819869443038,0.081815911305,0.0816448783062,0.0813238582281,0.08100283815,0.0807640172244,0.0805251962988,0.0804976823552,0.0804701684116,0.0802712276674,0.0800722869231,0.0799865581512,0.0799008293793
UT,0.0943764396071,0.0934088312222,0.0924412228373,0.0922329520925,0.0920246813476,0.0918484713137,0.0916722612798,0.0913546503458,0.0910370394119,0.0904477021313,0.0898583648507,0.0890929247474,0.088327484644,0.087847758512,0.08736803238,0.0869738303208,0.0865796282616,0.0861897643704,0.0857999004791,0.0854861322234,0.0851723639677,0.0851143376479,0.0850563113282,0.0851539896533,0.0852516679785,0.0852867413899,0.0853218148012,0.0850480953742,0.0847743759471,0.0853136968445,0.0858530177418,0.0860844864007,0.0863159550596,0.0864785231036,0.0866410911476,0.0868489816492,0.0870568721509
VA,0.105217514687,0.102610827819,0.100004140952,0.100376318502,0.100748496053,0.102521344129,0.104294192205,0.103422882283,0.102551572361,0.102031402715,0.101511233069,0.100975020047,0.100438807026,0.0998237049203,0.0992086028146,0.099013047408,0.0988174920014,0.0983976866481,0.0979778812948,0.0975848902706,0.0971918992464,0.0970326042201,0.0968733091938,0.096609878885,0.0963464485761,0.0959877473548,0.0956290461334,0.0951109546101,0.0945928630869,0.0948324968509,0.0950721306149,0.0956740354613,0.0962759403077,0.0970408611499,0.0978057819921,0.0976736933589,0.0975416047257
VT,0.227930198548,0.230559615007,0.233189031467,0.234997957248,0.236806883029,0.24509321808,0.253379553131,0.244390823616,0.235402094101,0.236347006144,0.237291918187,0.236210214641,0.235128511095,0.254089027489,0.273049543884,0.275871207969,0.278692872054,0.27456297828,0.270433084507,0.266752342554,0.263071600601,0.250938406726,0.238805212852,0.235821782619,0.232838352387,0.230747924414,0.228657496442,0.224475327524,0.220293158606,0.215975762157,0.211658365707,0.212530187913,0.21340201012,0.210717997105,0.20803398409,0.206894439387,0.205754894683
WI,0.101262240319,0.102122394494,0.102982548669,0.103144065665,0.103305582662,0.103291387617,0.103277192571,0.103298669967,0.103320147363,0.102639831673,0.101959515983,0.101648178736,0.10133684149,0.101059577406,0.100782313323,0.10066806179,0.100553810256,0.100759561408,0.10096531256,0.100675667352,0.100386022144,0.100120158414,0.0998542946834,0.0998480143639,0.0998417340443,0.0997282296083,0.0996147251722,0.0997207790597,0.0998268329471,0.100546849654,0.101266866361,0.10158630033,0.101905734298,0.103126065841,0.104346397384,0.105002881506,0.105659365629
WV,0.105217514687,0.102610827819,0.100004140952,0.100376318502,0.100748496053,0.102521344129,0.104294192205,0.103422882283,0.102551572361,0.102031402715,0.101511233069,0.100975020047,0.100438807026,0.0998237049203,0.0992086028146,0.099013047408,0.0988174920014,0.0983976866481,0.0979778812948,0.0975848902706,0.0971918992464,0.0970326042201,0.0968733091938,0.096609878885,0.0963464485761,0.0959877473548,0.0956290461334,0.0951109546101,0.0945928630869,0.0948324968509,0.0950721306149,0.0956740354613,0.0962759403077,0.0970408611499,0.0978057819921,0.0976736933589,0.0975416047257
WY,0.0943764396071,0.0934088312222,0.0924412228373,0.0922329520925,0.0920246813476,0.0918484713137,0.0916722612798,0.0913546503458,0.0910370394119,0.0904477021313,0.0898583648507,0.0890929247474,0.088327484644,0.087847758512,0.08736803238,0.0869738303208,0.0865796282616,0.0861897643704,0.0857999004791,0.0854861322234,0.0851723639677,0.0851143376479,0.0850563113282,0.0851539896533,0.0852516679785,0.0852867413899,0.0853218148012,0.0850480953742,0.0847743759471,0.0853136968445,0.0858530177418,0.0860844864007,0.0863159550596,0.0864785231036,0.0866410911476,0.0868489816492,0.0870568721509
