state_abbr,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
IL,0.0405669543965,0.0351190696578,0.0296711849192,0.0344680129057,0.0392648408923,0.0334629967789,0.0276611526656,0.0307549767025,0.0338488007394,0.0344396209256,0.0350304411117,0.0358885426222,0.0367466441326,0.0371930095128,0.037639374893,0.0384745287749,0.0393096826569,0.0402901783113,0.0412706739656,0.0409285244068,0.0405863748479,0.0410261972873,0.0414660197267,0.0403901697803,0.039314319834,0.0404228843733,0.0415314489127,0.042284481128,0.0430375133432,0.0426923428199,0.0423471722965,0.0430328693943,0.0437185664921,0.0439167189129,0.0441148713337,0.0450408025502,0.0459667337667,0.0474740308414,0.0489813279162,0.0494260144203,0.0498707009245
IN,0.0405669543965,0.0351190696578,0.0296711849192,0.0344680129057,0.0392648408923,0.0334629967789,0.0276611526656,0.0307549767025,0.0338488007394,0.0344396209256,0.0350304411117,0.0358885426222,0.0367466441326,0.0371930095128,0.037639374893,0.0384745287749,0.0393096826569,0.0402901783113,0.0412706739656,0.0409285244068,0.0405863748479,0.0410261972873,0.0414660197267,0.0403901697803,0.039314319834,0.0404228843733,0.0415314489127,0.042284481128,0.0430375133432,0.0426923428199,0.0423471722965,0.0430328693943,0.0437185664921,0.0439167189129,0.0441148713337,0.0450408025502,0.0459667337667,0.0474740308414,0.0489813279162,0.0494260144203,0.0498707009245
KS,0.0411241091563,0.0346569064021,0.0281897036479,0.0335498815395,0.0389100594311,0.0322793372612,0.0256486150912,0.0292676156659,0.0328866162406,0.0332709683801,0.0336553205196,0.0338505603549,0.0340458001901,0.034365148324,0.0346844964579,0.0358077726619,0.0369310488659,0.0384223111865,0.0399135735072,0.0395953204528,0.0392770673983,0.0397046371018,0.0401322068053,0.0390668658903,0.0380015249752,0.0388496072529,0.0396976895305,0.0401715162305,0.0406453429305,0.04018471726,0.0397240915895,0.0403835383709,0.0410429851523,0.0410819553076,0.041120925463,0.0418965789546,0.0426722324462,0.0436134223832,0.0445546123202,0.0447676757484,0.0449807391765
KY,0.0498297163303,0.043271581907,0.0367134474836,0.0395884627843,0.042463478085,0.0359675106429,0.0294715432008,0.0325082845266,0.0355450258524,0.0369740627895,0.0384030997267,0.0379337336753,0.0374643676239,0.0376352945764,0.037806221529,0.0388222519037,0.0398382822784,0.0408788143254,0.0419193463724,0.0412544512859,0.0405895561993,0.0410046370601,0.0414197179209,0.0401749754994,0.038930233078,0.0398470484887,0.0407638638994,0.0413801790459,0.0419964941923,0.0417985393434,0.0416005844946,0.0421435594957,0.0426865344969,0.0429589795099,0.0432314245229,0.0444637603891,0.0456960962553,0.0471587902976,0.0486214843399,0.0491045582049,0.0495876320698
LA,0.0469806610818,0.0391849687672,0.0313892764527,0.0369391572907,0.0424890381288,0.0343946299642,0.0263002217995,0.0298465334342,0.0333928450689,0.0355633222446,0.0377337994204,0.0372849583276,0.0368361172349,0.0360660790908,0.0352960409467,0.0363900706288,0.0374841003109,0.0383588500342,0.0392335997574,0.0386624249544,0.0380912501513,0.0383470972246,0.0386029442979,0.0374066422645,0.036210340231,0.0369579595199,0.0377055788087,0.0379662092031,0.0382268395975,0.0380284126602,0.0378299857229,0.0381117703037,0.0383935548844,0.038735161831,0.0390767687777,0.0398132781126,0.0405497874476,0.041412277477,0.0422747675065,0.0425393480449,0.0428039285833
MA,0.0552586321707,0.044972179973,0.0346857277754,0.0481700036538,0.0616542795322,0.0490657269607,0.0364771743893,0.0368350771754,0.0371929799615,0.0384140383859,0.0396350968104,0.0399336649637,0.0402322331171,0.0430683205387,0.0459044079602,0.0465379477078,0.0471714874553,0.0464758015225,0.0457801155896,0.04516659234,0.0445530690903,0.0447615991463,0.0449701292023,0.0443176203562,0.0436651115101,0.0446446729298,0.0456242343494,0.046117899464,0.0466115645786,0.0468150868645,0.0470186091504,0.0469429847399,0.0468673603295,0.0470703888379,0.0472734173463,0.04857301491,0.0498726124738,0.051405515587,0.0529384187001,0.0550098597537,0.0570813008074
MD,0.0536522576252,0.0454874971268,0.0373227366284,0.0406832904074,0.0440438441864,0.0371112954734,0.0301787467605,0.0328184196554,0.0354580925504,0.0366236890374,0.0377892855243,0.0379792087529,0.0381691319815,0.0384581245328,0.0387471170841,0.0396379809915,0.040528844899,0.0417000963139,0.0428713477289,0.042409914,0.0419484802711,0.04237790991,0.0428073395489,0.0416513017537,0.0404952639586,0.0414378864559,0.0423805089532,0.0430983695581,0.0438162301629,0.043838830108,0.043861430053,0.0444748694098,0.0450883087665,0.0453060044789,0.0455237001912,0.0467389242724,0.0479541483537,0.0496613388996,0.0513685294456,0.0521927491768,0.053016968908
ME,0.0552586321707,0.044972179973,0.0346857277754,0.0481700036538,0.0616542795322,0.0490657269607,0.0364771743893,0.0368350771754,0.0371929799615,0.0384140383859,0.0396350968104,0.0399336649637,0.0402322331171,0.0430683205387,0.0459044079602,0.0465379477078,0.0471714874553,0.0464758015225,0.0457801155896,0.04516659234,0.0445530690903,0.0447615991463,0.0449701292023,0.0443176203562,0.0436651115101,0.0446446729298,0.0456242343494,0.046117899464,0.0466115645786,0.0468150868645,0.0470186091504,0.0469429847399,0.0468673603295,0.0470703888379,0.0472734173463,0.04857301491,0.0498726124738,0.051405515587,0.0529384187001,0.0550098597537,0.0570813008074
MI,0.0405669543965,0.0351190696578,0.0296711849192,0.0344680129057,0.0392648408923,0.0334629967789,0.0276611526656,0.0307549767025,0.0338488007394,0.0344396209256,0.0350304411117,0.0358885426222,0.0367466441326,0.0371930095128,0.037639374893,0.0384745287749,0.0393096826569,0.0402901783113,0.0412706739656,0.0409285244068,0.0405863748479,0.0410261972873,0.0414660197267,0.0403901697803,0.039314319834,0.0404228843733,0.0415314489127,0.042284481128,0.0430375133432,0.0426923428199,0.0423471722965,0.0430328693943,0.0437185664921,0.0439167189129,0.0441148713337,0.0450408025502,0.0459667337667,0.0474740308414,0.0489813279162,0.0494260144203,0.0498707009245
MN,0.0411241091563,0.0346569064021,0.0281897036479,0.0335498815395,0.0389100594311,0.0322793372612,0.0256486150912,0.0292676156659,0.0328866162406,0.0332709683801,0.0336553205196,0.0338505603549,0.0340458001901,0.034365148324,0.0346844964579,0.0358077726619,0.0369310488659,0.0384223111865,0.0399135735072,0.0395953204528,0.0392770673983,0.0397046371018,0.0401322068053,0.0390668658903,0.0380015249752,0.0388496072529,0.0396976895305,0.0401715162305,0.0406453429305,0.04018471726,0.0397240915895,0.0403835383709,0.0410429851523,0.0410819553076,0.041120925463,0.0418965789546,0.0426722324462,0.0436134223832,0.0445546123202,0.0447676757484,0.0449807391765
MO,0.0411241091563,0.0346569064021,0.0281897036479,0.0335498815395,0.0389100594311,0.0322793372612,0.0256486150912,0.0292676156659,0.0328866162406,0.0332709683801,0.0336553205196,0.0338505603549,0.0340458001901,0.034365148324,0.0346844964579,0.0358077726619,0.0369310488659,0.0384223111865,0.0399135735072,0.0395953204528,0.0392770673983,0.0397046371018,0.0401322068053,0.0390668658903,0.0380015249752,0.0388496072529,0.0396976895305,0.0401715162305,0.0406453429305,0.04018471726,0.0397240915895,0.0403835383709,0.0410429851523,0.0410819553076,0.041120925463,0.0418965789546,0.0426722324462,0.0436134223832,0.0445546123202,0.0447676757484,0.0449807391765
MS,0.0498297163303,0.043271581907,0.0367134474836,0.0395884627843,0.042463478085,0.0359675106429,0.0294715432008,0.0325082845266,0.0355450258524,0.0369740627895,0.0384030997267,0.0379337336753,0.0374643676239,0.0376352945764,0.037806221529,0.0388222519037,0.0398382822784,0.0408788143254,0.0419193463724,0.0412544512859,0.0405895561993,0.0410046370601,0.0414197179209,0.0401749754994,0.038930233078,0.0398470484887,0.0407638638994,0.0413801790459,0.0419964941923,0.0417985393434,0.0416005844946,0.0421435594957,0.0426865344969,0.0429589795099,0.0432314245229,0.0444637603891,0.0456960962553,0.0471587902976,0.0486214843399,0.0491045582049,0.0495876320698
MT,0.0413587338839,0.0347206956733,0.0280826574627,0.032892519613,0.0377023817632,0.0305093807935,0.0233163798238,0.0269469561473,0.0305775324709,0.0310914923968,0.0316054523226,0.0316386551647,0.0316718580069,0.0317072260841,0.0317425941614,0.0340598100071,0.0363770258528,0.0370737940153,0.0377705621778,0.0370934304394,0.036416298701,0.0368935927397,0.0373708867784,0.03640416055,0.0354374343216,0.0362754174329,0.0371134005442,0.0378069626205,0.0385005246969,0.038376468085,0.0382524114732,0.0382867461004,0.0383210807277,0.038444503796,0.0385679268642,0.0390350122429,0.0395020976215,0.0403349627066,0.0411678277916,0.0417674938973,0.0423671600029
NC,0.0536522576252,0.0454874971268,0.0373227366284,0.0406832904074,0.0440438441864,0.0371112954734,0.0301787467605,0.0328184196554,0.0354580925504,0.0366236890374,0.0377892855243,0.0379792087529,0.0381691319815,0.0384581245328,0.0387471170841,0.0396379809915,0.040528844899,0.0417000963139,0.0428713477289,0.042409914,0.0419484802711,0.04237790991,0.0428073395489,0.0416513017537,0.0404952639586,0.0414378864559,0.0423805089532,0.0430983695581,0.0438162301629,0.043838830108,0.043861430053,0.0444748694098,0.0450883087665,0.0453060044789,0.0455237001912,0.0467389242724,0.0479541483537,0.0496613388996,0.0513685294456,0.0521927491768,0.053016968908
ND,0.0411241091563,0.0346569064021,0.0281897036479,0.0335498815395,0.0389100594311,0.0322793372612,0.0256486150912,0.0292676156659,0.0328866162406,0.0332709683801,0.0336553205196,0.0338505603549,0.0340458001901,0.034365148324,0.0346844964579,0.0358077726619,0.0369310488659,0.0384223111865,0.0399135735072,0.0395953204528,0.0392770673983,0.0397046371018,0.0401322068053,0.0390668658903,0.0380015249752,0.0388496072529,0.0396976895305,0.0401715162305,0.0406453429305,0.04018471726,0.0397240915895,0.0403835383709,0.0410429851523,0.0410819553076,0.041120925463,0.0418965789546,0.0426722324462,0.0436134223832,0.0445546123202,0.0447676757484,0.0449807391765
NE,0.0411241091563,0.0346569064021,0.0281897036479,0.0335498815395,0.0389100594311,0.0322793372612,0.0256486150912,0.0292676156659,0.0328866162406,0.0332709683801,0.0336553205196,0.0338505603549,0.0340458001901,0.034365148324,0.0346844964579,0.0358077726619,0.0369310488659,0.0384223111865,0.0399135735072,0.0395953204528,0.0392770673983,0.0397046371018,0.0401322068053,0.0390668658903,0.0380015249752,0.0388496072529,0.0396976895305,0.0401715162305,0.0406453429305,0.04018471726,0.0397240915895,0.0403835383709,0.0410429851523,0.0410819553076,0.041120925463,0.0418965789546,0.0426722324462,0.0436134223832,0.0445546123202,0.0447676757484,0.0449807391765
NH,0.0552586321707,0.044972179973,0.0346857277754,0.0481700036538,0.0616542795322,0.0490657269607,0.0364771743893,0.0368350771754,0.0371929799615,0.0384140383859,0.0396350968104,0.0399336649637,0.0402322331171,0.0430683205387,0.0459044079602,0.0465379477078,0.0471714874553,0.0464758015225,0.0457801155896,0.04516659234,0.0445530690903,0.0447615991463,0.0449701292023,0.0443176203562,0.0436651115101,0.0446446729298,0.0456242343494,0.046117899464,0.0466115645786,0.0468150868645,0.0470186091504,0.0469429847399,0.0468673603295,0.0470703888379,0.0472734173463,0.04857301491,0.0498726124738,0.051405515587,0.0529384187001,0.0550098597537,0.0570813008074
NJ,0.0542950852858,0.0444172492174,0.034539413149,0.0419363881708,0.0493333631925,0.0394903048164,0.0296472464402,0.0326723979085,0.0356975493769,0.0373481392957,0.0389987292146,0.0392709846414,0.0395432400681,0.0401165486016,0.0406898571351,0.0411275554517,0.0415652537683,0.0419174481741,0.04226964258,0.042162938682,0.0420562347841,0.0423408804293,0.0426255260744,0.0416370292387,0.0406485324029,0.0418726798785,0.0430968273541,0.0438921058219,0.0446873842897,0.0444925630788,0.0442977418679,0.0439032767234,0.043508811579,0.0443867814763,0.0452647513737,0.0467427479555,0.0482207445373,0.0503377009142,0.0524546572911,0.0532855802,0.0541165031088
NM,0.0413587338839,0.0347206956733,0.0280826574627,0.032892519613,0.0377023817632,0.0305093807935,0.0233163798238,0.0269469561473,0.0305775324709,0.0310914923968,0.0316054523226,0.0316386551647,0.0316718580069,0.0317072260841,0.0317425941614,0.0340598100071,0.0363770258528,0.0370737940153,0.0377705621778,0.0370934304394,0.036416298701,0.0368935927397,0.0373708867784,0.03640416055,0.0354374343216,0.0362754174329,0.0371134005442,0.0378069626205,0.0385005246969,0.038376468085,0.0382524114732,0.0382867461004,0.0383210807277,0.038444503796,0.0385679268642,0.0390350122429,0.0395020976215,0.0403349627066,0.0411678277916,0.0417674938973,0.0423671600029
NV,0.0413587338839,0.0347206956733,0.0280826574627,0.032892519613,0.0377023817632,0.0305093807935,0.0233163798238,0.0269469561473,0.0305775324709,0.0310914923968,0.0316054523226,0.0316386551647,0.0316718580069,0.0317072260841,0.0317425941614,0.0340598100071,0.0363770258528,0.0370737940153,0.0377705621778,0.0370934304394,0.036416298701,0.0368935927397,0.0373708867784,0.03640416055,0.0354374343216,0.0362754174329,0.0371134005442,0.0378069626205,0.0385005246969,0.038376468085,0.0382524114732,0.0382867461004,0.0383210807277,0.038444503796,0.0385679268642,0.0390350122429,0.0395020976215,0.0403349627066,0.0411678277916,0.0417674938973,0.0423671600029
NY,0.0542950852858,0.0444172492174,0.034539413149,0.0419363881708,0.0493333631925,0.0394903048164,0.0296472464402,0.0326723979085,0.0356975493769,0.0373481392957,0.0389987292146,0.0392709846414,0.0395432400681,0.0401165486016,0.0406898571351,0.0411275554517,0.0415652537683,0.0419174481741,0.04226964258,0.042162938682,0.0420562347841,0.0423408804293,0.0426255260744,0.0416370292387,0.0406485324029,0.0418726798785,0.0430968273541,0.0438921058219,0.0446873842897,0.0444925630788,0.0442977418679,0.0439032767234,0.043508811579,0.0443867814763,0.0452647513737,0.0467427479555,0.0482207445373,0.0503377009142,0.0524546572911,0.0532855802,0.0541165031088
OH,0.0405669543965,0.0351190696578,0.0296711849192,0.0344680129057,0.0392648408923,0.0334629967789,0.0276611526656,0.0307549767025,0.0338488007394,0.0344396209256,0.0350304411117,0.0358885426222,0.0367466441326,0.0371930095128,0.037639374893,0.0384745287749,0.0393096826569,0.0402901783113,0.0412706739656,0.0409285244068,0.0405863748479,0.0410261972873,0.0414660197267,0.0403901697803,0.039314319834,0.0404228843733,0.0415314489127,0.042284481128,0.0430375133432,0.0426923428199,0.0423471722965,0.0430328693943,0.0437185664921,0.0439167189129,0.0441148713337,0.0450408025502,0.0459667337667,0.0474740308414,0.0489813279162,0.0494260144203,0.0498707009245
OK,0.0469806610818,0.0391849687672,0.0313892764527,0.0369391572907,0.0424890381288,0.0343946299642,0.0263002217995,0.0298465334342,0.0333928450689,0.0355633222446,0.0377337994204,0.0372849583276,0.0368361172349,0.0360660790908,0.0352960409467,0.0363900706288,0.0374841003109,0.0383588500342,0.0392335997574,0.0386624249544,0.0380912501513,0.0383470972246,0.0386029442979,0.0374066422645,0.036210340231,0.0369579595199,0.0377055788087,0.0379662092031,0.0382268395975,0.0380284126602,0.0378299857229,0.0381117703037,0.0383935548844,0.038735161831,0.0390767687777,0.0398132781126,0.0405497874476,0.041412277477,0.0422747675065,0.0425393480449,0.0428039285833
OR,0.0473869999689,0.0384678964925,0.0295487930162,0.0350917305773,0.0406346681385,0.0322047487206,0.0237748293028,0.0285322085555,0.0332895878082,0.0337216175588,0.0341536473094,0.034677991423,0.0352023355366,0.0357964019395,0.0363904683424,0.0423916800264,0.0483928917103,0.0500794669658,0.0517660422213,0.0553292052862,0.0588923683512,0.0560404645404,0.0531885607295,0.0535283717535,0.0538681827776,0.0552371534819,0.0566061241862,0.057089842049,0.0575735599117,0.0580800612271,0.0585865625425,0.0583621726103,0.0581377826782,0.0575215028646,0.056905223051,0.0562911853986,0.0556771477461,0.0570096139202,0.0583420800943,0.0582166307691,0.058091181444
PA,0.0542950852858,0.0444172492174,0.034539413149,0.0419363881708,0.0493333631925,0.0394903048164,0.0296472464402,0.0326723979085,0.0356975493769,0.0373481392957,0.0389987292146,0.0392709846414,0.0395432400681,0.0401165486016,0.0406898571351,0.0411275554517,0.0415652537683,0.0419174481741,0.04226964258,0.042162938682,0.0420562347841,0.0423408804293,0.0426255260744,0.0416370292387,0.0406485324029,0.0418726798785,0.0430968273541,0.0438921058219,0.0446873842897,0.0444925630788,0.0442977418679,0.0439032767234,0.043508811579,0.0443867814763,0.0452647513737,0.0467427479555,0.0482207445373,0.0503377009142,0.0524546572911,0.0532855802,0.0541165031088
RI,0.0552586321707,0.044972179973,0.0346857277754,0.0481700036538,0.0616542795322,0.0490657269607,0.0364771743893,0.0368350771754,0.0371929799615,0.0384140383859,0.0396350968104,0.0399336649637,0.0402322331171,0.0430683205387,0.0459044079602,0.0465379477078,0.0471714874553,0.0464758015225,0.0457801155896,0.04516659234,0.0445530690903,0.0447615991463,0.0449701292023,0.0443176203562,0.0436651115101,0.0446446729298,0.0456242343494,0.046117899464,0.0466115645786,0.0468150868645,0.0470186091504,0.0469429847399,0.0468673603295,0.0470703888379,0.0472734173463,0.04857301491,0.0498726124738,0.051405515587,0.0529384187001,0.0550098597537,0.0570813008074
SC,0.0536522576252,0.0454874971268,0.0373227366284,0.0406832904074,0.0440438441864,0.0371112954734,0.0301787467605,0.0328184196554,0.0354580925504,0.0366236890374,0.0377892855243,0.0379792087529,0.0381691319815,0.0384581245328,0.0387471170841,0.0396379809915,0.040528844899,0.0417000963139,0.0428713477289,0.042409914,0.0419484802711,0.04237790991,0.0428073395489,0.0416513017537,0.0404952639586,0.0414378864559,0.0423805089532,0.0430983695581,0.0438162301629,0.043838830108,0.043861430053,0.0444748694098,0.0450883087665,0.0453060044789,0.0455237001912,0.0467389242724,0.0479541483537,0.0496613388996,0.0513685294456,0.0521927491768,0.053016968908
SD,0.0411241091563,0.0346569064021,0.0281897036479,0.0335498815395,0.0389100594311,0.0322793372612,0.0256486150912,0.0292676156659,0.0328866162406,0.0332709683801,0.0336553205196,0.0338505603549,0.0340458001901,0.034365148324,0.0346844964579,0.0358077726619,0.0369310488659,0.0384223111865,0.0399135735072,0.0395953204528,0.0392770673983,0.0397046371018,0.0401322068053,0.0390668658903,0.0380015249752,0.0388496072529,0.0396976895305,0.0401715162305,0.0406453429305,0.04018471726,0.0397240915895,0.0403835383709,0.0410429851523,0.0410819553076,0.041120925463,0.0418965789546,0.0426722324462,0.0436134223832,0.0445546123202,0.0447676757484,0.0449807391765
