state_abbr,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
GA,0.0536554717622,0.0454918671382,0.0373282625143,0.0406830865452,0.0440379105762,0.0371116657093,0.0301854208425,0.0328226307569,0.0354598406712,0.036620356587,0.0377808725027,0.0379889865657,0.0381971006287,0.0384799638906,0.0387628271525,0.0389496844318,0.0391365417112,0.0392025528075,0.0392685639039,0.0390695057443,0.0388704475848,0.0389383524765,0.0390062573681,0.0391332869065,0.0392603164449,0.0398145524712,0.0403687884976,0.0411256597761,0.0418825310546,0.0421987784112,0.0425150257677,0.0431241598503,0.043733293933,0.0447109687482,0.0456886435635,0.0469666416385,0.0482446397135,0.0497317948369,0.0512189499603,0.0521930204065,0.0531670908526
HI,0.0473934401486,0.0384705407752,0.0295476414019,0.0350947277826,0.0406418141633,0.0322424767053,0.0238431392473,0.0283579326379,0.0328727260285,0.033588539907,0.0343043537856,0.0348559283127,0.0354075028398,0.0359980310596,0.0365885592795,0.0425010649532,0.0484135706268,0.050743583171,0.0530735957152,0.0559460336697,0.0588184716241,0.0575207825135,0.0562230934028,0.0561305801645,0.0560380669263,0.0569401942815,0.0578423216368,0.0589326087314,0.0600228958259,0.0609063065817,0.0617897173375,0.0606100511465,0.0594303849554,0.0592840571071,0.0591377292589,0.058995728572,0.0588537278852,0.0592124004608,0.0595710730364,0.0594809758832,0.0593908787299
IA,0.0411276702462,0.0346670820728,0.0282064938994,0.0335594688491,0.0389124437987,0.0322864358694,0.0256604279401,0.0292617431136,0.0328630582871,0.0332888392884,0.0337146202897,0.0339130941356,0.0341115679815,0.0343941862634,0.0346768045453,0.0350103797107,0.0353439548762,0.0355257287948,0.0357075027134,0.0357393796896,0.0357712566658,0.0359879703469,0.0362046840279,0.036612769624,0.0370208552201,0.0375149600041,0.0380090647881,0.0383745474253,0.0387400300625,0.0387775573079,0.0388150845533,0.0391917202882,0.0395683560232,0.0401179588942,0.0406675617652,0.0414524858399,0.0422374099146,0.0430420837104,0.0438467575062,0.0441796184562,0.0445124794061
ID,0.0413608023132,0.0347207916687,0.0280807810241,0.0328896163707,0.0376984517173,0.030510024199,0.0233215966806,0.0270087747402,0.0306959527997,0.0311877741923,0.031679595585,0.031728718823,0.031777842061,0.0318088074409,0.0318397728208,0.0334671788536,0.0350945848863,0.0348542118219,0.0346138387575,0.0342522872738,0.0338907357901,0.0339228756241,0.0339550154582,0.0341245325929,0.0342940497275,0.0346353990981,0.0349767484686,0.035762966208,0.0365491839474,0.0367128337577,0.0368764835679,0.0370834657634,0.0372904479589,0.0378510558463,0.0384116637336,0.0392820404741,0.0401524172146,0.040769907584,0.0413873979534,0.0420219840049,0.0426565700564
IL,0.0405682862426,0.0351288240102,0.0296893617778,0.0344744253325,0.0392594888871,0.0334613342511,0.027663179615,0.0307063344615,0.033749489308,0.0344551110395,0.0351607327709,0.0359744278257,0.0367881228804,0.0374288292982,0.038069535716,0.0379871382028,0.0379047406896,0.037658619917,0.0374124991445,0.0373059263481,0.0371993535517,0.0374758819157,0.0377524102797,0.0381219482103,0.0384914861408,0.039217936892,0.0399443876432,0.0405700757853,0.0411957639274,0.0414122401585,0.0416287163897,0.0422117575467,0.0427947987037,0.043553877448,0.0443129561924,0.045154659716,0.0459963632397,0.0474054698353,0.0488145764309,0.0492079106507,0.0496012448704
IN,0.0405682862426,0.0351288240102,0.0296893617778,0.0344744253325,0.0392594888871,0.0334613342511,0.027663179615,0.0307063344615,0.033749489308,0.0344551110395,0.0351607327709,0.0359744278257,0.0367881228804,0.0374288292982,0.038069535716,0.0379871382028,0.0379047406896,0.037658619917,0.0374124991445,0.0373059263481,0.0371993535517,0.0374758819157,0.0377524102797,0.0381219482103,0.0384914861408,0.039217936892,0.0399443876432,0.0405700757853,0.0411957639274,0.0414122401585,0.0416287163897,0.0422117575467,0.0427947987037,0.043553877448,0.0443129561924,0.045154659716,0.0459963632397,0.0474054698353,0.0488145764309,0.0492079106507,0.0496012448704
KS,0.0411276702462,0.0346670820728,0.0282064938994,0.0335594688491,0.0389124437987,0.0322864358694,0.0256604279401,0.0292617431136,0.0328630582871,0.0332888392884,0.0337146202897,0.0339130941356,0.0341115679815,0.0343941862634,0.0346768045453,0.0350103797107,0.0353439548762,0.0355257287948,0.0357075027134,0.0357393796896,0.0357712566658,0.0359879703469,0.0362046840279,0.036612769624,0.0370208552201,0.0375149600041,0.0380090647881,0.0383745474253,0.0387400300625,0.0387775573079,0.0388150845533,0.0391917202882,0.0395683560232,0.0401179588942,0.0406675617652,0.0414524858399,0.0422374099146,0.0430420837104,0.0438467575062,0.0441796184562,0.0445124794061
KY,0.04983090201,0.0432720454688,0.0367131889277,0.0395892745818,0.0424653602359,0.0359746203544,0.0294838804729,0.0325175085823,0.0355511366917,0.0369863325312,0.0384215283706,0.0379587357905,0.0374959432104,0.0376360051884,0.0377760671664,0.0380959283559,0.0384157895454,0.0382537643174,0.0380917390894,0.0376656349315,0.0372395307736,0.0374190701227,0.0375986094719,0.0377546334697,0.0379106574676,0.0383884706275,0.0388662837875,0.0394166060787,0.03996692837,0.0402818429557,0.0405967575413,0.0411959310758,0.0417951046103,0.042768218648,0.0437413326857,0.0448517441908,0.045962155696,0.0473900416442,0.0488179275925,0.0495178719044,0.0502178162162
LA,0.046983067028,0.0391872293825,0.031391391737,0.0369421618654,0.0424929319939,0.0343935390671,0.0262941461404,0.0298496051274,0.0334050641145,0.0355778653057,0.0377506664969,0.0373071355594,0.0368636046218,0.0361241666077,0.0353847285936,0.0356551647089,0.0359256008242,0.0356816908005,0.0354377807769,0.035176600396,0.0349154200152,0.0349995245126,0.03508362901,0.0350254229375,0.034967216865,0.0352005833486,0.0354339498322,0.0357378322339,0.0360417146356,0.0360646748288,0.0360876350221,0.0364315960286,0.0367755570351,0.0376347242256,0.038493891416,0.039246294114,0.039998696812,0.0405251736424,0.0410516504728,0.0415423743148,0.0420330981568
MA,0.0552901079282,0.0450267886051,0.0347634692821,0.0482854489683,0.0618074286546,0.0491344563094,0.0364614839642,0.0368251588646,0.037188833765,0.0385438320117,0.0398988302584,0.0403451391919,0.0407914481254,0.0433605783747,0.0459297086239,0.046021774044,0.0461138394642,0.04476242599,0.0434110125159,0.0429599597329,0.04250890695,0.0425451450012,0.0425813830524,0.0427057919667,0.0428302008809,0.0438207398775,0.0448112788741,0.0456700620807,0.0465288452873,0.0468913203078,0.0472537953282,0.0474025770435,0.0475513587587,0.0482703556622,0.0489893525657,0.0499423046311,0.0508952566965,0.0522444239805,0.0535935912645,0.056239550178,0.0588855090914
MD,0.0536554717622,0.0454918671382,0.0373282625143,0.0406830865452,0.0440379105762,0.0371116657093,0.0301854208425,0.0328226307569,0.0354598406712,0.036620356587,0.0377808725027,0.0379889865657,0.0381971006287,0.0384799638906,0.0387628271525,0.0389496844318,0.0391365417112,0.0392025528075,0.0392685639039,0.0390695057443,0.0388704475848,0.0389383524765,0.0390062573681,0.0391332869065,0.0392603164449,0.0398145524712,0.0403687884976,0.0411256597761,0.0418825310546,0.0421987784112,0.0425150257677,0.0431241598503,0.043733293933,0.0447109687482,0.0456886435635,0.0469666416385,0.0482446397135,0.0497317948369,0.0512189499603,0.0521930204065,0.0531670908526
ME,0.0552901079282,0.0450267886051,0.0347634692821,0.0482854489683,0.0618074286546,0.0491344563094,0.0364614839642,0.0368251588646,0.037188833765,0.0385438320117,0.0398988302584,0.0403451391919,0.0407914481254,0.0433605783747,0.0459297086239,0.046021774044,0.0461138394642,0.04476242599,0.0434110125159,0.0429599597329,0.04250890695,0.0425451450012,0.0425813830524,0.0427057919667,0.0428302008809,0.0438207398775,0.0448112788741,0.0456700620807,0.0465288452873,0.0468913203078,0.0472537953282,0.0474025770435,0.0475513587587,0.0482703556622,0.0489893525657,0.0499423046311,0.0508952566965,0.0522444239805,0.0535935912645,0.056239550178,0.0588855090914
MI,0.0405682862426,0.0351288240102,0.0296893617778,0.0344744253325,0.0392594888871,0.0334613342511,0.027663179615,0.0307063344615,0.033749489308,0.0344551110395,0.0351607327709,0.0359744278257,0.0367881228804,0.0374288292982,0.038069535716,0.0379871382028,0.0379047406896,0.037658619917,0.0374124991445,0.0373059263481,0.0371993535517,0.0374758819157,0.0377524102797,0.0381219482103,0.0384914861408,0.039217936892,0.0399443876432,0.0405700757853,0.0411957639274,0.0414122401585,0.0416287163897,0.0422117575467,0.0427947987037,0.043553877448,0.0443129561924,0.045154659716,0.0459963632397,0.0474054698353,0.0488145764309,0.0492079106507,0.0496012448704
MN,0.0411276702462,0.0346670820728,0.0282064938994,0.0335594688491,0.0389124437987,0.0322864358694,0.0256604279401,0.0292617431136,0.0328630582871,0.0332888392884,0.0337146202897,0.0339130941356,0.0341115679815,0.0343941862634,0.0346768045453,0.0350103797107,0.0353439548762,0.0355257287948,0.0357075027134,0.0357393796896,0.0357712566658,0.0359879703469,0.0362046840279,0.036612769624,0.0370208552201,0.0375149600041,0.0380090647881,0.0383745474253,0.0387400300625,0.0387775573079,0.0388150845533,0.0391917202882,0.0395683560232,0.0401179588942,0.0406675617652,0.0414524858399,0.0422374099146,0.0430420837104,0.0438467575062,0.0441796184562,0.0445124794061
MO,0.0411276702462,0.0346670820728,0.0282064938994,0.0335594688491,0.0389124437987,0.0322864358694,0.0256604279401,0.0292617431136,0.0328630582871,0.0332888392884,0.0337146202897,0.0339130941356,0.0341115679815,0.0343941862634,0.0346768045453,0.0350103797107,0.0353439548762,0.0355257287948,0.0357075027134,0.0357393796896,0.0357712566658,0.0359879703469,0.0362046840279,0.036612769624,0.0370208552201,0.0375149600041,0.0380090647881,0.0383745474253,0.0387400300625,0.0387775573079,0.0388150845533,0.0391917202882,0.0395683560232,0.0401179588942,0.0406675617652,0.0414524858399,0.0422374099146,0.0430420837104,0.0438467575062,0.0441796184562,0.0445124794061
MS,0.04983090201,0.0432720454688,0.0367131889277,0.0395892745818,0.0424653602359,0.0359746203544,0.0294838804729,0.0325175085823,0.0355511366917,0.0369863325312,0.0384215283706,0.0379587357905,0.0374959432104,0.0376360051884,0.0377760671664,0.0380959283559,0.0384157895454,0.0382537643174,0.0380917390894,0.0376656349315,0.0372395307736,0.0374190701227,0.0375986094719,0.0377546334697,0.0379106574676,0.0383884706275,0.0388662837875,0.0394166060787,0.03996692837,0.0402818429557,0.0405967575413,0.0411959310758,0.0417951046103,0.042768218648,0.0437413326857,0.0448517441908,0.045962155696,0.0473900416442,0.0488179275925,0.0495178719044,0.0502178162162
MT,0.0413608023132,0.0347207916687,0.0280807810241,0.0328896163707,0.0376984517173,0.030510024199,0.0233215966806,0.0270087747402,0.0306959527997,0.0311877741923,0.031679595585,0.031728718823,0.031777842061,0.0318088074409,0.0318397728208,0.0334671788536,0.0350945848863,0.0348542118219,0.0346138387575,0.0342522872738,0.0338907357901,0.0339228756241,0.0339550154582,0.0341245325929,0.0342940497275,0.0346353990981,0.0349767484686,0.035762966208,0.0365491839474,0.0367128337577,0.0368764835679,0.0370834657634,0.0372904479589,0.0378510558463,0.0384116637336,0.0392820404741,0.0401524172146,0.040769907584,0.0413873979534,0.0420219840049,0.0426565700564
NC,0.0536554717622,0.0454918671382,0.0373282625143,0.0406830865452,0.0440379105762,0.0371116657093,0.0301854208425,0.0328226307569,0.0354598406712,0.036620356587,0.0377808725027,0.0379889865657,0.0381971006287,0.0384799638906,0.0387628271525,0.0389496844318,0.0391365417112,0.0392025528075,0.0392685639039,0.0390695057443,0.0388704475848,0.0389383524765,0.0390062573681,0.0391332869065,0.0392603164449,0.0398145524712,0.0403687884976,0.0411256597761,0.0418825310546,0.0421987784112,0.0425150257677,0.0431241598503,0.043733293933,0.0447109687482,0.0456886435635,0.0469666416385,0.0482446397135,0.0497317948369,0.0512189499603,0.0521930204065,0.0531670908526
ND,0.0411276702462,0.0346670820728,0.0282064938994,0.0335594688491,0.0389124437987,0.0322864358694,0.0256604279401,0.0292617431136,0.0328630582871,0.0332888392884,0.0337146202897,0.0339130941356,0.0341115679815,0.0343941862634,0.0346768045453,0.0350103797107,0.0353439548762,0.0355257287948,0.0357075027134,0.0357393796896,0.0357712566658,0.0359879703469,0.0362046840279,0.036612769624,0.0370208552201,0.0375149600041,0.0380090647881,0.0383745474253,0.0387400300625,0.0387775573079,0.0388150845533,0.0391917202882,0.0395683560232,0.0401179588942,0.0406675617652,0.0414524858399,0.0422374099146,0.0430420837104,0.0438467575062,0.0441796184562,0.0445124794061
NE,0.0411276702462,0.0346670820728,0.0282064938994,0.0335594688491,0.0389124437987,0.0322864358694,0.0256604279401,0.0292617431136,0.0328630582871,0.0332888392884,0.0337146202897,0.0339130941356,0.0341115679815,0.0343941862634,0.0346768045453,0.0350103797107,0.0353439548762,0.0355257287948,0.0357075027134,0.0357393796896,0.0357712566658,0.0359879703469,0.0362046840279,0.036612769624,0.0370208552201,0.0375149600041,0.0380090647881,0.0383745474253,0.0387400300625,0.0387775573079,0.0388150845533,0.0391917202882,0.0395683560232,0.0401179588942,0.0406675617652,0.0414524858399,0.0422374099146,0.0430420837104,0.0438467575062,0.0441796184562,0.0445124794061
NH,0.0552901079282,0.0450267886051,0.0347634692821,0.0482854489683,0.0618074286546,0.0491344563094,0.0364614839642,0.0368251588646,0.037188833765,0.0385438320117,0.0398988302584,0.0403451391919,0.0407914481254,0.0433605783747,0.0459297086239,0.046021774044,0.0461138394642,0.04476242599,0.0434110125159,0.0429599597329,0.04250890695,0.0425451450012,0.0425813830524,0.0427057919667,0.0428302008809,0.0438207398775,0.0448112788741,0.0456700620807,0.0465288452873,0.0468913203078,0.0472537953282,0.0474025770435,0.0475513587587,0.0482703556622,0.0489893525657,0.0499423046311,0.0508952566965,0.0522444239805,0.0535935912645,0.056239550178,0.0588855090914
NJ,0.0543054437419,0.0444311349402,0.0345568261385,0.0419415812818,0.0493263364251,0.0394982121227,0.0296700878203,0.0326852248951,0.0357003619699,0.0373668518092,0.0390333416486,0.0393340735414,0.0396348054341,0.0401075453935,0.0405802853529,0.0404636925125,0.0403470996721,0.039742276147,0.0391374526218,0.0392875572453,0.0394376618688,0.0394783856134,0.039519109358,0.0397485178616,0.0399779263651,0.0407455200929,0.0415131138207,0.042249127116,0.0429851404113,0.0431061528102,0.0432271652091,0.0428478044618,0.0424684437144,0.0435597900032,0.0446511362919,0.0459248778068,0.0471986193216,0.0497298181954,0.0522610170693,0.053475828044,0.0546906390188
NM,0.0413608023132,0.0347207916687,0.0280807810241,0.0328896163707,0.0376984517173,0.030510024199,0.0233215966806,0.0270087747402,0.0306959527997,0.0311877741923,0.031679595585,0.031728718823,0.031777842061,0.0318088074409,0.0318397728208,0.0334671788536,0.0350945848863,0.0348542118219,0.0346138387575,0.0342522872738,0.0338907357901,0.0339228756241,0.0339550154582,0.0341245325929,0.0342940497275,0.0346353990981,0.0349767484686,0.035762966208,0.0365491839474,0.0367128337577,0.0368764835679,0.0370834657634,0.0372904479589,0.0378510558463,0.0384116637336,0.0392820404741,0.0401524172146,0.040769907584,0.0413873979534,0.0420219840049,0.0426565700564
NV,0.0413608023132,0.0347207916687,0.0280807810241,0.0328896163707,0.0376984517173,0.030510024199,0.0233215966806,0.0270087747402,0.0306959527997,0.0311877741923,0.031679595585,0.031728718823,0.031777842061,0.0318088074409,0.0318397728208,0.0334671788536,0.0350945848863,0.0348542118219,0.0346138387575,0.0342522872738,0.0338907357901,0.0339228756241,0.0339550154582,0.0341245325929,0.0342940497275,0.0346353990981,0.0349767484686,0.035762966208,0.0365491839474,0.0367128337577,0.0368764835679,0.0370834657634,0.0372904479589,0.0378510558463,0.0384116637336,0.0392820404741,0.0401524172146,0.040769907584,0.0413873979534,0.0420219840049,0.0426565700564
NY,0.0543054437419,0.0444311349402,0.0345568261385,0.0419415812818,0.0493263364251,0.0394982121227,0.0296700878203,0.0326852248951,0.0357003619699,0.0373668518092,0.0390333416486,0.0393340735414,0.0396348054341,0.0401075453935,0.0405802853529,0.0404636925125,0.0403470996721,0.039742276147,0.0391374526218,0.0392875572453,0.0394376618688,0.0394783856134,0.039519109358,0.0397485178616,0.0399779263651,0.0407455200929,0.0415131138207,0.042249127116,0.0429851404113,0.0431061528102,0.0432271652091,0.0428478044618,0.0424684437144,0.0435597900032,0.0446511362919,0.0459248778068,0.0471986193216,0.0497298181954,0.0522610170693,0.053475828044,0.0546906390188
OH,0.0405682862426,0.0351288240102,0.0296893617778,0.0344744253325,0.0392594888871,0.0334613342511,0.027663179615,0.0307063344615,0.033749489308,0.0344551110395,0.0351607327709,0.0359744278257,0.0367881228804,0.0374288292982,0.038069535716,0.0379871382028,0.0379047406896,0.037658619917,0.0374124991445,0.0373059263481,0.0371993535517,0.0374758819157,0.0377524102797,0.0381219482103,0.0384914861408,0.039217936892,0.0399443876432,0.0405700757853,0.0411957639274,0.0414122401585,0.0416287163897,0.0422117575467,0.0427947987037,0.043553877448,0.0443129561924,0.045154659716,0.0459963632397,0.0474054698353,0.0488145764309,0.0492079106507,0.0496012448704
OK,0.046983067028,0.0391872293825,0.031391391737,0.0369421618654,0.0424929319939,0.0343935390671,0.0262941461404,0.0298496051274,0.0334050641145,0.0355778653057,0.0377506664969,0.0373071355594,0.0368636046218,0.0361241666077,0.0353847285936,0.0356551647089,0.0359256008242,0.0356816908005,0.0354377807769,0.035176600396,0.0349154200152,0.0349995245126,0.03508362901,0.0350254229375,0.034967216865,0.0352005833486,0.0354339498322,0.0357378322339,0.0360417146356,0.0360646748288,0.0360876350221,0.0364315960286,0.0367755570351,0.0376347242256,0.038493891416,0.039246294114,0.039998696812,0.0405251736424,0.0410516504728,0.0415423743148,0.0420330981568
OR,0.0473934401486,0.0384705407752,0.0295476414019,0.0350947277826,0.0406418141633,0.0322424767053,0.0238431392473,0.0283579326379,0.0328727260285,0.033588539907,0.0343043537856,0.0348559283127,0.0354075028398,0.0359980310596,0.0365885592795,0.0425010649532,0.0484135706268,0.050743583171,0.0530735957152,0.0559460336697,0.0588184716241,0.0575207825135,0.0562230934028,0.0561305801645,0.0560380669263,0.0569401942815,0.0578423216368,0.0589326087314,0.0600228958259,0.0609063065817,0.0617897173375,0.0606100511465,0.0594303849554,0.0592840571071,0.0591377292589,0.058995728572,0.0588537278852,0.0592124004608,0.0595710730364,0.0594809758832,0.0593908787299
PA,0.0543054437419,0.0444311349402,0.0345568261385,0.0419415812818,0.0493263364251,0.0394982121227,0.0296700878203,0.0326852248951,0.0357003619699,0.0373668518092,0.0390333416486,0.0393340735414,0.0396348054341,0.0401075453935,0.0405802853529,0.0404636925125,0.0403470996721,0.039742276147,0.0391374526218,0.0392875572453,0.0394376618688,0.0394783856134,0.039519109358,0.0397485178616,0.0399779263651,0.0407455200929,0.0415131138207,0.042249127116,0.0429851404113,0.0431061528102,0.0432271652091,0.0428478044618,0.0424684437144,0.0435597900032,0.0446511362919,0.0459248778068,0.0471986193216,0.0497298181954,0.0522610170693,0.053475828044,0.0546906390188
RI,0.0552901079282,0.0450267886051,0.0347634692821,0.0482854489683,0.0618074286546,0.0491344563094,0.0364614839642,0.0368251588646,0.037188833765,0.0385438320117,0.0398988302584,0.0403451391919,0.0407914481254,0.0433605783747,0.0459297086239,0.046021774044,0.0461138394642,0.04476242599,0.0434110125159,0.0429599597329,0.04250890695,0.0425451450012,0.0425813830524,0.0427057919667,0.0428302008809,0.0438207398775,0.0448112788741,0.0456700620807,0.0465288452873,0.0468913203078,0.0472537953282,0.0474025770435,0.0475513587587,0.0482703556622,0.0489893525657,0.0499423046311,0.0508952566965,0.0522444239805,0.0535935912645,0.056239550178,0.0588855090914
SC,0.0536554717622,0.0454918671382,0.0373282625143,0.0406830865452,0.0440379105762,0.0371116657093,0.0301854208425,0.0328226307569,0.0354598406712,0.036620356587,0.0377808725027,0.0379889865657,0.0381971006287,0.0384799638906,0.0387628271525,0.0389496844318,0.0391365417112,0.0392025528075,0.0392685639039,0.0390695057443,0.0388704475848,0.0389383524765,0.0390062573681,0.0391332869065,0.0392603164449,0.0398145524712,0.0403687884976,0.0411256597761,0.0418825310546,0.0421987784112,0.0425150257677,0.0431241598503,0.043733293933,0.0447109687482,0.0456886435635,0.0469666416385,0.0482446397135,0.0497317948369,0.0512189499603,0.0521930204065,0.0531670908526
SD,0.0411276702462,0.0346670820728,0.0282064938994,0.0335594688491,0.0389124437987,0.0322864358694,0.0256604279401,0.0292617431136,0.0328630582871,0.0332888392884,0.0337146202897,0.0339130941356,0.0341115679815,0.0343941862634,0.0346768045453,0.0350103797107,0.0353439548762,0.0355257287948,0.0357075027134,0.0357393796896,0.0357712566658,0.0359879703469,0.0362046840279,0.036612769624,0.0370208552201,0.0375149600041,0.0380090647881,0.0383745474253,0.0387400300625,0.0387775573079,0.0388150845533,0.0391917202882,0.0395683560232,0.0401179588942,0.0406675617652,0.0414524858399,0.0422374099146,0.0430420837104,0.0438467575062,0.0441796184562,0.0445124794061
