country_abbr,sector_abbr,control_reg_id,nem_system_size_limit_kw,year_end_excess_sell_rate_usd_per_kwh,year
COL,res,6,1000,0,2044
COL,res,6,1000,0,2045
COL,res,6,1000,0,2046
COL,res,6,1000,0,2047
COL,res,6,1000,0,2048
COL,res,6,1000,0,2049
COL,res,6,1000,0,2050
COL,res,7,1000,0,2015
COL,res,7,1000,0,2016
COL,res,7,1000,0,2017
COL,res,7,1000,0,2018
COL,res,7,1000,0,2019
COL,res,7,1000,0,2020
COL,res,7,1000,0,2021
COL,res,7,1000,0,2022
COL,res,7,1000,0,2023
COL,res,7,1000,0,2024
COL,res,7,1000,0,2025
COL,res,7,1000,0,2026
COL,res,7,1000,0,2027
COL,res,7,1000,0,2028
COL,res,7,1000,0,2029
COL,res,7,1000,0,2030
COL,res,7,1000,0,2031
COL,res,7,1000,0,2032
COL,res,7,1000,0,2033
COL,res,7,1000,0,2034
COL,res,7,1000,0,2035
COL,res,7,1000,0,2036
COL,res,7,1000,0,2037
COL,res,7,1000,0,2038
COL,res,7,1000,0,2039
COL,res,7,1000,0,2040
COL,res,7,1000,0,2041
COL,res,7,1000,0,2042
COL,res,7,1000,0,2043
COL,res,7,1000,0,2044
COL,res,7,1000,0,2045
COL,res,7,1000,0,2046
COL,res,7,1000,0,2047
COL,res,7,1000,0,2048
COL,res,7,1000,0,2049
COL,res,7,1000,0,2050
COL,res,8,1000,0,2015
COL,res,8,1000,0,2016
COL,res,8,1000,0,2017
COL,res,8,1000,0,2018
COL,res,8,1000,0,2019
COL,res,8,1000,0,2020
COL,res,8,1000,0,2021
COL,res,8,1000,0,2022
COL,res,8,1000,0,2023
COL,res,8,1000,0,2024
COL,res,8,1000,0,2025
COL,res,8,1000,0,2026
COL,res,8,1000,0,2027
COL,res,8,1000,0,2028
COL,res,8,1000,0,2029
COL,res,8,1000,0,2030
COL,res,8,1000,0,2031
COL,res,8,1000,0,2032
COL,res,8,1000,0,2033
COL,res,8,1000,0,2034
COL,res,8,1000,0,2035
COL,res,8,1000,0,2036
COL,res,8,1000,0,2037
COL,res,8,1000,0,2038
COL,res,8,1000,0,2039
COL,res,8,1000,0,2040
COL,res,8,1000,0,2041
COL,res,8,1000,0,2042
COL,res,8,1000,0,2043
COL,res,8,1000,0,2044
COL,res,8,1000,0,2045
COL,res,8,1000,0,2046
COL,res,8,1000,0,2047
COL,res,8,1000,0,2048
COL,res,8,1000,0,2049
COL,res,8,1000,0,2050
COL,res,9,1000,0,2015
COL,res,9,1000,0,2016
COL,res,9,1000,0,2017
COL,res,9,1000,0,2018
COL,res,9,1000,0,2019
COL,res,9,1000,0,2020
COL,res,9,1000,0,2021
COL,res,9,1000,0,2022
COL,res,9,1000,0,2023
COL,res,9,1000,0,2024
COL,res,9,1000,0,2025
COL,res,9,1000,0,2026
COL,res,9,1000,0,2027
COL,res,9,1000,0,2028
COL,res,9,1000,0,2029
COL,res,9,1000,0,2030
COL,res,9,1000,0,2031
COL,res,9,1000,0,2032
COL,res,9,1000,0,2033
COL,res,9,1000,0,2034
COL,res,9,1000,0,2035
COL,res,9,1000,0,2036
COL,res,9,1000,0,2037
COL,res,9,1000,0,2038
COL,res,9,1000,0,2039
COL,res,9,1000,0,2040
COL,res,9,1000,0,2041
COL,res,9,1000,0,2042
COL,res,9,1000,0,2043
COL,res,9,1000,0,2044
COL,res,9,1000,0,2045
COL,res,9,1000,0,2046
COL,res,9,1000,0,2047
COL,res,9,1000,0,2048
COL,res,9,1000,0,2049
COL,res,9,1000,0,2050
COL,res,10,1000,0,2015
COL,res,10,1000,0,2016
COL,res,10,1000,0,2017
COL,res,10,1000,0,2018
COL,res,10,1000,0,2019
COL,res,10,1000,0,2020
COL,res,10,1000,0,2021
COL,res,10,1000,0,2022
COL,res,10,1000,0,2023
COL,res,10,1000,0,2024
COL,res,10,1000,0,2025
COL,res,10,1000,0,2026
COL,res,10,1000,0,2027
COL,res,10,1000,0,2028
COL,res,10,1000,0,2029
COL,res,10,1000,0,2030
COL,res,10,1000,0,2031
COL,res,10,1000,0,2032
COL,res,10,1000,0,2033
COL,res,10,1000,0,2034
COL,res,10,1000,0,2035
COL,res,10,1000,0,2036
COL,res,10,1000,0,2037
COL,res,10,1000,0,2038
COL,res,10,1000,0,2039
COL,res,10,1000,0,2040
COL,res,10,1000,0,2041
COL,res,10,1000,0,2042
COL,res,10,1000,0,2043
COL,res,10,1000,0,2044
COL,res,10,1000,0,2045
COL,res,10,1000,0,2046
COL,res,10,1000,0,2047
COL,res,10,1000,0,2048
COL,res,10,1000,0,2049
COL,res,10,1000,0,2050
COL,res,11,1000,0,2015
COL,res,11,1000,0,2016
COL,res,11,1000,0,2017
COL,res,11,1000,0,2018
COL,res,11,1000,0,2019
COL,res,11,1000,0,2020
COL,res,11,1000,0,2021
COL,res,11,1000,0,2022
COL,res,11,1000,0,2023
COL,res,11,1000,0,2024
COL,res,11,1000,0,2025
COL,res,11,1000,0,2026
COL,res,11,1000,0,2027
COL,res,11,1000,0,2028
COL,res,11,1000,0,2029
COL,res,11,1000,0,2030
COL,res,11,1000,0,2031
COL,res,11,1000,0,2032
COL,res,11,1000,0,2033
COL,res,11,1000,0,2034
COL,res,11,1000,0,2035
COL,res,11,1000,0,2036
COL,res,11,1000,0,2037
COL,res,11,1000,0,2038
COL,res,11,1000,0,2039
COL,res,11,1000,0,2040
COL,res,11,1000,0,2041
COL,res,11,1000,0,2042
COL,res,11,1000,0,2043
COL,res,11,1000,0,2044
COL,res,11,1000,0,2045
COL,res,11,1000,0,2046
COL,res,11,1000,0,2047
COL,res,11,1000,0,2048
COL,res,11,1000,0,2049
COL,res,11,1000,0,2050
COL,res,12,1000,0,2015
COL,res,12,1000,0,2016
COL,res,12,1000,0,2017
COL,res,12,1000,0,2018
COL,res,12,1000,0,2019
COL,res,12,1000,0,2020
COL,res,12,1000,0,2021
COL,res,12,1000,0,2022
COL,res,12,1000,0,2023
COL,res,12,1000,0,2024
COL,res,12,1000,0,2025
COL,res,12,1000,0,2026
COL,res,12,1000,0,2027
COL,res,12,1000,0,2028
COL,res,12,1000,0,2029
COL,res,12,1000,0,2030
COL,res,12,1000,0,2031
COL,res,12,1000,0,2032
COL,res,12,1000,0,2033
COL,res,12,1000,0,2034
COL,res,12,1000,0,2035
COL,res,12,1000,0,2036
COL,res,12,1000,0,2037
COL,res,12,1000,0,2038
COL,res,12,1000,0,2039
COL,res,12,1000,0,2040
COL,res,12,1000,0,2041
COL,res,12,1000,0,2042
COL,res,12,1000,0,2043
COL,res,12,1000,0,2044
COL,res,12,1000,0,2045
COL,res,12,1000,0,2046
COL,res,12,1000,0,2047
COL,res,12,1000,0,2048
COL,res,12,1000,0,2049
COL,res,12,1000,0,2050
COL,res,13,1000,0,2015
COL,res,13,1000,0,2016
COL,res,13,1000,0,2017
COL,res,13,1000,0,2018
COL,res,13,1000,0,2019
COL,res,13,1000,0,2020
COL,res,13,1000,0,2021
COL,res,13,1000,0,2022
COL,res,13,1000,0,2023
COL,res,13,1000,0,2024
COL,res,13,1000,0,2025
COL,res,13,1000,0,2026
COL,res,13,1000,0,2027
COL,res,13,1000,0,2028
COL,res,13,1000,0,2029
COL,res,13,1000,0,2030
COL,res,13,1000,0,2031
COL,res,13,1000,0,2032
COL,res,13,1000,0,2033
COL,res,13,1000,0,2034
COL,res,13,1000,0,2035
COL,res,13,1000,0,2036
COL,res,13,1000,0,2037
COL,res,13,1000,0,2038
COL,res,13,1000,0,2039
COL,res,13,1000,0,2040
COL,res,13,1000,0,2041
COL,res,13,1000,0,2042
COL,res,13,1000,0,2043
COL,res,13,1000,0,2044
COL,res,13,1000,0,2045
COL,res,13,1000,0,2046
COL,res,13,1000,0,2047
COL,res,13,1000,0,2048
COL,res,13,1000,0,2049
COL,res,13,1000,0,2050
COL,res,14,1000,0,2015
COL,res,14,1000,0,2016
COL,res,14,1000,0,2017
COL,res,14,1000,0,2018
COL,res,14,1000,0,2019
COL,res,14,1000,0,2020
COL,res,14,1000,0,2021
COL,res,14,1000,0,2022
COL,res,14,1000,0,2023
COL,res,14,1000,0,2024
COL,res,14,1000,0,2025
COL,res,14,1000,0,2026
COL,res,14,1000,0,2027
COL,res,14,1000,0,2028
COL,res,14,1000,0,2029
COL,res,14,1000,0,2030
COL,res,14,1000,0,2031
COL,res,14,1000,0,2032
COL,res,14,1000,0,2033
COL,res,14,1000,0,2034
COL,res,14,1000,0,2035
COL,res,14,1000,0,2036
COL,res,14,1000,0,2037
COL,res,14,1000,0,2038
COL,res,14,1000,0,2039
COL,res,14,1000,0,2040
COL,res,14,1000,0,2041
COL,res,14,1000,0,2042
COL,res,14,1000,0,2043
COL,res,14,1000,0,2044
COL,res,14,1000,0,2045
COL,res,14,1000,0,2046
COL,res,14,1000,0,2047
COL,res,14,1000,0,2048
COL,res,14,1000,0,2049
COL,res,14,1000,0,2050
COL,res,15,1000,0,2015
COL,res,15,1000,0,2016
COL,res,15,1000,0,2017
COL,res,15,1000,0,2018
COL,res,15,1000,0,2019
COL,res,15,1000,0,2020
COL,res,15,1000,0,2021
COL,res,15,1000,0,2022
COL,res,15,1000,0,2023
COL,res,15,1000,0,2024
COL,res,15,1000,0,2025
COL,res,15,1000,0,2026
COL,res,15,1000,0,2027
COL,res,15,1000,0,2028
COL,res,15,1000,0,2029
COL,res,15,1000,0,2030
COL,res,15,1000,0,2031
COL,res,15,1000,0,2032
COL,res,15,1000,0,2033
COL,res,15,1000,0,2034
COL,res,15,1000,0,2035
COL,res,15,1000,0,2036
COL,res,15,1000,0,2037
COL,res,15,1000,0,2038
COL,res,15,1000,0,2039
COL,res,15,1000,0,2040
COL,res,15,1000,0,2041
COL,res,15,1000,0,2042
COL,res,15,1000,0,2043
COL,res,15,1000,0,2044
COL,res,15,1000,0,2045
COL,res,15,1000,0,2046
COL,res,15,1000,0,2047
COL,res,15,1000,0,2048
COL,res,15,1000,0,2049
COL,res,15,1000,0,2050
COL,res,16,1000,0,2015
COL,res,16,1000,0,2016
COL,res,16,1000,0,2017
COL,res,16,1000,0,2018
COL,res,16,1000,0,2019
COL,res,16,1000,0,2020
COL,res,16,1000,0,2021
COL,res,16,1000,0,2022
COL,res,16,1000,0,2023
COL,res,16,1000,0,2024
COL,res,16,1000,0,2025
COL,res,16,1000,0,2026
COL,res,16,1000,0,2027
COL,res,16,1000,0,2028
COL,res,16,1000,0,2029
COL,res,16,1000,0,2030
COL,res,16,1000,0,2031
COL,res,16,1000,0,2032
COL,res,16,1000,0,2033
COL,res,16,1000,0,2034
COL,res,16,1000,0,2035
COL,res,16,1000,0,2036
COL,res,16,1000,0,2037
COL,res,16,1000,0,2038
COL,res,16,1000,0,2039
COL,res,16,1000,0,2040
COL,res,16,1000,0,2041
COL,res,16,1000,0,2042
COL,res,16,1000,0,2043
COL,res,16,1000,0,2044
COL,res,16,1000,0,2045
COL,res,16,1000,0,2046
COL,res,16,1000,0,2047
COL,res,16,1000,0,2048
COL,res,16,1000,0,2049
COL,res,16,1000,0,2050
COL,res,17,1000,0,2015
COL,res,17,1000,0,2016
COL,res,17,1000,0,2017
COL,res,17,1000,0,2018
COL,res,17,1000,0,2019
COL,res,17,1000,0,2020
COL,res,17,1000,0,2021
COL,res,17,1000,0,2022
COL,res,17,1000,0,2023
COL,res,17,1000,0,2024
COL,res,17,1000,0,2025
COL,res,17,1000,0,2026
COL,res,17,1000,0,2027
COL,res,17,1000,0,2028
COL,res,17,1000,0,2029
COL,res,17,1000,0,2030
COL,res,17,1000,0,2031
COL,res,17,1000,0,2032
COL,res,17,1000,0,2033
COL,res,17,1000,0,2034
COL,res,17,1000,0,2035
COL,res,17,1000,0,2036
COL,res,17,1000,0,2037
COL,res,17,1000,0,2038
COL,res,17,1000,0,2039
COL,res,17,1000,0,2040
COL,res,17,1000,0,2041
COL,res,17,1000,0,2042
COL,res,17,1000,0,2043
COL,res,17,1000,0,2044
COL,res,17,1000,0,2045
COL,res,17,1000,0,2046
COL,res,17,1000,0,2047
COL,res,17,1000,0,2048
COL,res,17,1000,0,2049
COL,res,17,1000,0,2050
COL,res,18,1000,0,2015
COL,res,18,1000,0,2016
COL,res,18,1000,0,2017
COL,res,18,1000,0,2018
COL,res,18,1000,0,2019
COL,res,18,1000,0,2020
COL,res,18,1000,0,2021
COL,res,18,1000,0,2022
COL,res,18,1000,0,2023
COL,res,18,1000,0,2024
COL,res,18,1000,0,2025
COL,res,18,1000,0,2026
COL,res,18,1000,0,2027
COL,res,18,1000,0,2028
COL,res,18,1000,0,2029
COL,res,18,1000,0,2030
COL,res,18,1000,0,2031
COL,res,18,1000,0,2032
COL,res,18,1000,0,2033
COL,res,18,1000,0,2034
COL,res,18,1000,0,2035
COL,res,18,1000,0,2036
COL,res,18,1000,0,2037
COL,res,18,1000,0,2038
COL,res,18,1000,0,2039
COL,res,18,1000,0,2040
COL,res,18,1000,0,2041
COL,res,18,1000,0,2042
COL,res,18,1000,0,2043
COL,res,18,1000,0,2044
COL,res,18,1000,0,2045
COL,res,18,1000,0,2046
COL,res,18,1000,0,2047
COL,res,18,1000,0,2048
COL,res,18,1000,0,2049
COL,res,18,1000,0,2050
COL,res,19,1000,0,2015
COL,res,19,1000,0,2016
COL,res,19,1000,0,2017
COL,res,19,1000,0,2018
COL,res,19,1000,0,2019
COL,res,19,1000,0,2020
COL,res,19,1000,0,2021
COL,res,19,1000,0,2022
COL,res,19,1000,0,2023
COL,res,19,1000,0,2024
COL,res,19,1000,0,2025
COL,res,19,1000,0,2026
COL,res,19,1000,0,2027
COL,res,19,1000,0,2028
COL,res,19,1000,0,2029
COL,res,19,1000,0,2030
COL,res,19,1000,0,2031
COL,res,19,1000,0,2032
COL,res,19,1000,0,2033
COL,res,19,1000,0,2034
COL,res,19,1000,0,2035
COL,res,19,1000,0,2036
COL,res,19,1000,0,2037
COL,res,19,1000,0,2038
COL,res,19,1000,0,2039
COL,res,19,1000,0,2040
COL,res,19,1000,0,2041
COL,res,19,1000,0,2042
COL,res,19,1000,0,2043
COL,res,19,1000,0,2044
COL,res,19,1000,0,2045
COL,res,19,1000,0,2046
COL,res,19,1000,0,2047
COL,res,19,1000,0,2048
COL,res,19,1000,0,2049
COL,res,19,1000,0,2050
COL,res,20,1000,0,2015
COL,res,20,1000,0,2016
COL,res,20,1000,0,2017
COL,res,20,1000,0,2018
COL,res,20,1000,0,2019
COL,res,20,1000,0,2020
COL,res,20,1000,0,2021
COL,res,20,1000,0,2022
COL,res,20,1000,0,2023
COL,res,20,1000,0,2024
COL,res,20,1000,0,2025
COL,res,20,1000,0,2026
COL,res,20,1000,0,2027
COL,res,20,1000,0,2028
COL,res,20,1000,0,2029
COL,res,20,1000,0,2030
COL,res,20,1000,0,2031
COL,res,20,1000,0,2032
COL,res,20,1000,0,2033
COL,res,20,1000,0,2034
COL,res,20,1000,0,2035
COL,res,20,1000,0,2036
COL,res,20,1000,0,2037
COL,res,20,1000,0,2038
COL,res,20,1000,0,2039
COL,res,20,1000,0,2040
COL,res,20,1000,0,2041
COL,res,20,1000,0,2042
COL,res,20,1000,0,2043
COL,res,20,1000,0,2044
COL,res,20,1000,0,2045
COL,res,20,1000,0,2046
COL,res,20,1000,0,2047
COL,res,20,1000,0,2048
COL,res,20,1000,0,2049
COL,res,20,1000,0,2050
COL,res,21,1000,0,2015
COL,res,21,1000,0,2016
COL,res,21,1000,0,2017
COL,res,21,1000,0,2018
COL,res,21,1000,0,2019
COL,res,21,1000,0,2020
COL,res,21,1000,0,2021
COL,res,21,1000,0,2022
COL,res,21,1000,0,2023
COL,res,21,1000,0,2024
COL,res,21,1000,0,2025
COL,res,21,1000,0,2026
COL,res,21,1000,0,2027
COL,res,21,1000,0,2028
COL,res,21,1000,0,2029
COL,res,21,1000,0,2030
COL,res,21,1000,0,2031
COL,res,21,1000,0,2032
COL,res,21,1000,0,2033
COL,res,21,1000,0,2034
COL,res,21,1000,0,2035
COL,res,21,1000,0,2036
COL,res,21,1000,0,2037
COL,res,21,1000,0,2038
COL,res,21,1000,0,2039
COL,res,21,1000,0,2040
COL,res,21,1000,0,2041
COL,res,21,1000,0,2042
COL,res,21,1000,0,2043
COL,res,21,1000,0,2044
COL,res,21,1000,0,2045
COL,res,21,1000,0,2046
COL,res,21,1000,0,2047
COL,res,21,1000,0,2048
COL,res,21,1000,0,2049
COL,res,21,1000,0,2050
COL,res,22,1000,0,2015
COL,res,22,1000,0,2016
COL,res,22,1000,0,2017
COL,res,22,1000,0,2018
COL,res,22,1000,0,2019
COL,res,22,1000,0,2020
COL,res,22,1000,0,2021
COL,res,22,1000,0,2022
COL,res,22,1000,0,2023
COL,res,22,1000,0,2024
COL,res,22,1000,0,2025
COL,res,22,1000,0,2026
COL,res,22,1000,0,2027
COL,res,22,1000,0,2028
COL,res,22,1000,0,2029
COL,res,22,1000,0,2030
COL,res,22,1000,0,2031
COL,res,22,1000,0,2032
COL,res,22,1000,0,2033
COL,res,22,1000,0,2034
COL,res,22,1000,0,2035
COL,res,22,1000,0,2036
COL,res,22,1000,0,2037
COL,res,22,1000,0,2038
COL,res,22,1000,0,2039
COL,res,22,1000,0,2040
COL,res,22,1000,0,2041
COL,res,22,1000,0,2042
COL,res,22,1000,0,2043
COL,res,22,1000,0,2044
COL,res,22,1000,0,2045
COL,res,22,1000,0,2046
COL,res,22,1000,0,2047
COL,res,22,1000,0,2048
COL,res,22,1000,0,2049
COL,res,22,1000,0,2050
COL,res,23,1000,0,2015
COL,res,23,1000,0,2016
COL,res,23,1000,0,2017
COL,res,23,1000,0,2018
COL,res,23,1000,0,2019
COL,res,23,1000,0,2020
COL,res,23,1000,0,2021
COL,res,23,1000,0,2022
COL,res,23,1000,0,2023
COL,res,23,1000,0,2024
COL,res,23,1000,0,2025
COL,res,23,1000,0,2026
COL,res,23,1000,0,2027
COL,res,23,1000,0,2028
COL,res,23,1000,0,2029
COL,res,23,1000,0,2030
COL,res,23,1000,0,2031
COL,res,23,1000,0,2032
COL,res,23,1000,0,2033
COL,res,23,1000,0,2034
COL,res,23,1000,0,2035
COL,res,23,1000,0,2036
COL,res,23,1000,0,2037
COL,res,23,1000,0,2038
COL,res,23,1000,0,2039
COL,res,23,1000,0,2040
COL,res,23,1000,0,2041
COL,res,23,1000,0,2042
COL,res,23,1000,0,2043
COL,res,23,1000,0,2044
COL,res,23,1000,0,2045
COL,res,23,1000,0,2046
COL,res,23,1000,0,2047
COL,res,23,1000,0,2048
COL,res,23,1000,0,2049
COL,res,23,1000,0,2050
COL,res,24,1000,0,2015
COL,res,24,1000,0,2016
COL,res,24,1000,0,2017
COL,res,24,1000,0,2018
COL,res,24,1000,0,2019
COL,res,24,1000,0,2020
COL,res,24,1000,0,2021
COL,res,24,1000,0,2022
COL,res,24,1000,0,2023
COL,res,24,1000,0,2024
COL,res,24,1000,0,2025
COL,res,24,1000,0,2026
COL,res,24,1000,0,2027
COL,res,24,1000,0,2028
COL,res,24,1000,0,2029
COL,res,24,1000,0,2030
COL,res,24,1000,0,2031
COL,res,24,1000,0,2032
COL,res,24,1000,0,2033
COL,res,24,1000,0,2034
COL,res,24,1000,0,2035
COL,res,24,1000,0,2036
COL,res,24,1000,0,2037
COL,res,24,1000,0,2038
COL,res,24,1000,0,2039
COL,res,24,1000,0,2040
COL,res,24,1000,0,2041
COL,res,24,1000,0,2042
COL,res,24,1000,0,2043
COL,res,24,1000,0,2044
COL,res,24,1000,0,2045
COL,res,24,1000,0,2046
COL,res,24,1000,0,2047
COL,res,24,1000,0,2048
COL,res,24,1000,0,2049
COL,res,24,1000,0,2050
COL,res,25,1000,0,2015
COL,res,25,1000,0,2016
COL,res,25,1000,0,2017
COL,res,25,1000,0,2018
COL,res,25,1000,0,2019
COL,res,25,1000,0,2020
COL,res,25,1000,0,2021
COL,res,25,1000,0,2022
COL,res,25,1000,0,2023
COL,res,25,1000,0,2024
COL,res,25,1000,0,2025
COL,res,25,1000,0,2026
COL,res,25,1000,0,2027
COL,res,25,1000,0,2028
COL,res,25,1000,0,2029
COL,res,25,1000,0,2030
COL,res,25,1000,0,2031
COL,res,25,1000,0,2032
COL,res,25,1000,0,2033
COL,res,25,1000,0,2034
COL,res,25,1000,0,2035
COL,res,25,1000,0,2036
COL,res,25,1000,0,2037
COL,res,25,1000,0,2038
COL,res,25,1000,0,2039
COL,res,25,1000,0,2040
COL,res,25,1000,0,2041
COL,res,25,1000,0,2042
COL,res,25,1000,0,2043
COL,res,25,1000,0,2044
COL,res,25,1000,0,2045
COL,res,25,1000,0,2046
COL,res,25,1000,0,2047
COL,res,25,1000,0,2048
COL,res,25,1000,0,2049
COL,res,25,1000,0,2050
COL,res,26,1000,0,2015
COL,res,26,1000,0,2016
COL,res,26,1000,0,2017
COL,res,26,1000,0,2018
COL,res,26,1000,0,2019
COL,res,26,1000,0,2020
COL,res,26,1000,0,2021
COL,res,26,1000,0,2022
COL,res,26,1000,0,2023
COL,res,26,1000,0,2024
COL,res,26,1000,0,2025
COL,res,26,1000,0,2026
COL,res,26,1000,0,2027
COL,res,26,1000,0,2028
COL,res,26,1000,0,2029
COL,res,26,1000,0,2030
COL,res,26,1000,0,2031
COL,res,26,1000,0,2032
COL,res,26,1000,0,2033
COL,res,26,1000,0,2034
COL,res,26,1000,0,2035
COL,res,26,1000,0,2036
COL,res,26,1000,0,2037
COL,res,26,1000,0,2038
COL,res,26,1000,0,2039
