sector_abbr,state_id,year,nem_system_size_limit_kw
res,33,2033,20000.0
res,33,2034,20000.0
res,33,2035,20000.0
res,33,2036,20000.0
res,33,2037,20000.0
res,33,2038,20000.0
res,33,2039,20000.0
res,33,2040,20000.0
res,33,2041,20000.0
res,33,2042,20000.0
res,33,2043,20000.0
res,33,2044,20000.0
res,33,2045,20000.0
res,33,2046,20000.0
res,33,2047,20000.0
res,33,2048,20000.0
res,33,2049,20000.0
res,33,2050,20000.0
res,34,2015,20000.0
res,34,2016,20000.0
res,34,2017,20000.0
res,34,2018,20000.0
res,34,2019,20000.0
res,34,2020,20000.0
res,34,2021,20000.0
res,34,2022,20000.0
res,34,2023,20000.0
res,34,2024,20000.0
res,34,2025,20000.0
res,34,2026,20000.0
res,34,2027,20000.0
res,34,2028,20000.0
res,34,2029,20000.0
res,34,2030,20000.0
res,34,2031,20000.0
res,34,2032,20000.0
res,34,2033,20000.0
res,34,2034,20000.0
res,34,2035,20000.0
res,34,2036,20000.0
res,34,2037,20000.0
res,34,2038,20000.0
res,34,2039,20000.0
res,34,2040,20000.0
res,34,2041,20000.0
res,34,2042,20000.0
res,34,2043,20000.0
res,34,2044,20000.0
res,34,2045,20000.0
res,34,2046,20000.0
res,34,2047,20000.0
res,34,2048,20000.0
res,34,2049,20000.0
res,34,2050,20000.0
com,2,2015,20000.0
com,2,2016,20000.0
com,2,2017,20000.0
com,2,2018,20000.0
com,2,2019,20000.0
com,2,2020,20000.0
com,2,2021,20000.0
com,2,2022,20000.0
com,2,2023,20000.0
com,2,2024,20000.0
com,2,2025,20000.0
com,2,2026,20000.0
com,2,2027,20000.0
com,2,2028,20000.0
com,2,2029,20000.0
com,2,2030,20000.0
com,2,2031,20000.0
com,2,2032,20000.0
com,2,2033,20000.0
com,2,2034,20000.0
com,2,2035,20000.0
com,2,2036,20000.0
com,2,2037,20000.0
com,2,2038,20000.0
com,2,2039,20000.0
com,2,2040,20000.0
com,2,2041,20000.0
com,2,2042,20000.0
com,2,2043,20000.0
com,2,2044,20000.0
com,2,2045,20000.0
com,2,2046,20000.0
com,2,2047,20000.0
com,2,2048,20000.0
com,2,2049,20000.0
com,2,2050,20000.0
com,3,2015,20000.0
com,3,2016,20000.0
com,3,2017,20000.0
com,3,2018,20000.0
com,3,2019,20000.0
com,3,2020,20000.0
com,3,2021,20000.0
com,3,2022,20000.0
com,3,2023,20000.0
com,3,2024,20000.0
com,3,2025,20000.0
com,3,2026,20000.0
com,3,2027,20000.0
com,3,2028,20000.0
com,3,2029,20000.0
com,3,2030,20000.0
com,3,2031,20000.0
com,3,2032,20000.0
com,3,2033,20000.0
com,3,2034,20000.0
com,3,2035,20000.0
com,3,2036,20000.0
com,3,2037,20000.0
com,3,2038,20000.0
com,3,2039,20000.0
com,3,2040,20000.0
com,3,2041,20000.0
com,3,2042,20000.0
com,3,2043,20000.0
com,3,2044,20000.0
com,3,2045,20000.0
com,3,2046,20000.0
com,3,2047,20000.0
com,3,2048,20000.0
com,3,2049,20000.0
com,3,2050,20000.0
com,6,2015,20000.0
com,6,2016,20000.0
com,6,2017,20000.0
com,6,2018,20000.0
com,6,2019,20000.0
com,6,2020,20000.0
com,6,2021,20000.0
com,6,2022,20000.0
com,6,2023,20000.0
com,6,2024,20000.0
com,6,2025,20000.0
com,6,2026,20000.0
com,6,2027,20000.0
com,6,2028,20000.0
com,6,2029,20000.0
com,6,2030,20000.0
com,6,2031,20000.0
com,6,2032,20000.0
com,6,2033,20000.0
com,6,2034,20000.0
com,6,2035,20000.0
com,6,2036,20000.0
com,6,2037,20000.0
com,6,2038,20000.0
com,6,2039,20000.0
com,6,2040,20000.0
com,6,2041,20000.0
com,6,2042,20000.0
com,6,2043,20000.0
com,6,2044,20000.0
com,6,2045,20000.0
com,6,2046,20000.0
com,6,2047,20000.0
com,6,2048,20000.0
com,6,2049,20000.0
com,6,2050,20000.0
com,8,2015,20000.0
com,8,2016,20000.0
com,8,2017,20000.0
com,8,2018,20000.0
com,8,2019,20000.0
com,8,2020,20000.0
com,8,2021,20000.0
com,8,2022,20000.0
com,8,2023,20000.0
com,8,2024,20000.0
com,8,2025,20000.0
com,8,2026,20000.0
com,8,2027,20000.0
com,8,2028,20000.0
com,8,2029,20000.0
com,8,2030,20000.0
com,8,2031,20000.0
com,8,2032,20000.0
com,8,2033,20000.0
com,8,2034,20000.0
com,8,2035,20000.0
com,8,2036,20000.0
com,8,2037,20000.0
com,8,2038,20000.0
com,8,2039,20000.0
com,8,2040,20000.0
com,8,2041,20000.0
com,8,2042,20000.0
com,8,2043,20000.0
com,8,2044,20000.0
com,8,2045,20000.0
com,8,2046,20000.0
com,8,2047,20000.0
com,8,2048,20000.0
com,8,2049,20000.0
com,8,2050,20000.0
com,9,2015,20000.0
com,9,2016,20000.0
com,9,2017,20000.0
com,9,2018,20000.0
com,9,2019,20000.0
com,9,2020,20000.0
com,9,2021,20000.0
com,9,2022,20000.0
com,9,2023,20000.0
com,9,2024,20000.0
com,9,2025,20000.0
com,9,2026,20000.0
com,9,2027,20000.0
com,9,2028,20000.0
com,9,2029,20000.0
com,9,2030,20000.0
com,9,2031,20000.0
com,9,2032,20000.0
com,9,2033,20000.0
com,9,2034,20000.0
com,9,2035,20000.0
com,9,2036,20000.0
com,9,2037,20000.0
com,9,2038,20000.0
com,9,2039,20000.0
com,9,2040,20000.0
com,9,2041,20000.0
com,9,2042,20000.0
com,9,2043,20000.0
com,9,2044,20000.0
com,9,2045,20000.0
com,9,2046,20000.0
com,9,2047,20000.0
com,9,2048,20000.0
com,9,2049,20000.0
com,9,2050,20000.0
com,10,2015,20000.0
com,10,2016,20000.0
com,10,2017,20000.0
com,10,2018,20000.0
com,10,2019,20000.0
com,10,2020,20000.0
com,10,2021,20000.0
com,10,2022,20000.0
com,10,2023,20000.0
com,10,2024,20000.0
com,10,2025,20000.0
com,10,2026,20000.0
com,10,2027,20000.0
com,10,2028,20000.0
com,10,2029,20000.0
com,10,2030,20000.0
com,10,2031,20000.0
com,10,2032,20000.0
com,10,2033,20000.0
com,10,2034,20000.0
com,10,2035,20000.0
com,10,2036,20000.0
com,10,2037,20000.0
com,10,2038,20000.0
com,10,2039,20000.0
com,10,2040,20000.0
com,10,2041,20000.0
com,10,2042,20000.0
com,10,2043,20000.0
com,10,2044,20000.0
com,10,2045,20000.0
com,10,2046,20000.0
com,10,2047,20000.0
com,10,2048,20000.0
com,10,2049,20000.0
com,10,2050,20000.0
com,11,2015,20000.0
com,11,2016,20000.0
com,11,2017,20000.0
com,11,2018,20000.0
com,11,2019,20000.0
com,11,2020,20000.0
com,11,2021,20000.0
com,11,2022,20000.0
com,11,2023,20000.0
com,11,2024,20000.0
com,11,2025,20000.0
com,11,2026,20000.0
com,11,2027,20000.0
com,11,2028,20000.0
com,11,2029,20000.0
com,11,2030,20000.0
com,11,2031,20000.0
com,11,2032,20000.0
com,11,2033,20000.0
com,11,2034,20000.0
com,11,2035,20000.0
com,11,2036,20000.0
com,11,2037,20000.0
com,11,2038,20000.0
com,11,2039,20000.0
com,11,2040,20000.0
com,11,2041,20000.0
com,11,2042,20000.0
com,11,2043,20000.0
com,11,2044,20000.0
com,11,2045,20000.0
com,11,2046,20000.0
com,11,2047,20000.0
com,11,2048,20000.0
com,11,2049,20000.0
com,11,2050,20000.0
com,12,2015,20000.0
com,12,2016,20000.0
com,12,2017,20000.0
com,12,2018,20000.0
com,12,2019,20000.0
com,12,2020,20000.0
com,12,2021,20000.0
com,12,2022,20000.0
com,12,2023,20000.0
com,12,2024,20000.0
com,12,2025,20000.0
com,12,2026,20000.0
com,12,2027,20000.0
com,12,2028,20000.0
com,12,2029,20000.0
com,12,2030,20000.0
com,12,2031,20000.0
com,12,2032,20000.0
com,12,2033,20000.0
com,12,2034,20000.0
com,12,2035,20000.0
com,12,2036,20000.0
com,12,2037,20000.0
com,12,2038,20000.0
com,12,2039,20000.0
com,12,2040,20000.0
com,12,2041,20000.0
com,12,2042,20000.0
com,12,2043,20000.0
com,12,2044,20000.0
com,12,2045,20000.0
com,12,2046,20000.0
com,12,2047,20000.0
com,12,2048,20000.0
com,12,2049,20000.0
com,12,2050,20000.0
com,13,2015,20000.0
com,13,2016,20000.0
com,13,2017,20000.0
com,13,2018,20000.0
com,13,2019,20000.0
com,13,2020,20000.0
com,13,2021,20000.0
com,13,2022,20000.0
com,13,2023,20000.0
com,13,2024,20000.0
com,13,2025,20000.0
com,13,2026,20000.0
com,13,2027,20000.0
com,13,2028,20000.0
com,13,2029,20000.0
com,13,2030,20000.0
com,13,2031,20000.0
com,13,2032,20000.0
com,13,2033,20000.0
